ASAS15fr 0.0334 140.0852 -7.6408
filter Jd
 57109.217 17.374 0.016
 57111.127 17.635 0.013
 57112.076 17.700 0.026
 57113.165 17.799 0.037
 57114.088 17.861 0.033
 57115.037 18.233 0.029
 57120.128 19.019 0.038
filter g
 57110.055 16.793 0.009
 57117.042 17.099 0.011
 57118.050 17.169 0.011
 57119.029 17.254 0.010
 57120.034 17.364 0.012
 57121.038 17.458 0.010
 57122.030 17.559 0.013
 57123.049 17.652 0.009
 57125.120 17.872 0.011
 57127.096 18.109 0.014
 57129.102 18.289 0.013
 57131.132 18.527 0.018
 57134.078 18.880 0.015
 57136.081 19.045 0.018
 57141.087 19.364 0.031
 57143.124 19.434 0.051
 57152.083 19.786 0.035
 57156.055 19.837 0.028
 57159.055 19.925 0.025
 57162.034 19.957 0.023
 57164.009 19.973 0.035
 57178.004 20.167 0.077
 57178.999 20.315 0.067
 57180.972 20.338 0.078
 57181.993 20.276 0.075
filter i
 57110.057 17.552 0.018
 57117.044 17.994 0.024
 57118.051 18.021 0.029
 57119.030 18.174 0.024
 57120.037 18.286 0.023
 57121.042 18.249 0.022
 57122.033 18.267 0.024
 57123.053 18.366 0.025
 57125.125 18.339 0.023
 57127.098 18.204 0.020
 57129.104 18.100 0.019
 57131.134 18.055 0.021
 57134.084 18.012 0.013
 57136.087 18.138 0.018
 57141.089 18.473 0.030
 57143.127 18.656 0.028
 57146.111 18.834 0.034
 57152.089 19.170 0.044
 57156.058 19.325 0.035
 57159.058 19.352 0.039
 57162.042 19.545 0.033
 57164.013 19.659 0.039
 57176.009 20.002 0.079
 57178.008 20.138 0.145
 57179.000 19.977 0.110
 57180.973 20.183 0.163
 57181.995 20.213 0.108
filter Hd
 57109.196 17.663 0.036
 57111.097 17.779 0.029
 57112.070 17.818 0.040
 57113.159 18.074 0.052
 57114.083 18.204 0.086
 57115.031 18.022 0.060
 57120.112 18.046 0.065
filter B
 57110.052 16.810 0.013
 57117.036 17.265 0.016
 57118.060 17.338 0.017
 57119.040 17.429 0.016
 57120.030 17.529 0.011
 57121.034 17.656 0.013
 57122.026 17.765 0.013
 57123.044 17.904 0.011
 57125.135 18.207 0.016
 57127.088 18.411 0.019
 57129.112 18.700 0.022
 57131.145 18.904 0.022
 57134.072 19.246 0.020
 57136.075 19.429 0.022
 57141.096 19.672 0.048
 57143.135 19.789 0.081
 57152.075 20.008 0.045
 57156.066 20.195 0.034
 57159.065 20.228 0.044
 57162.025 20.292 0.032
 57164.022 20.344 0.062
 57178.018 20.463 0.082
filter u
 57110.059 17.370 0.023
 57117.046 18.147 0.042
 57118.055 18.279 0.030
 57119.033 18.431 0.025
 57120.040 18.560 0.021
 57121.045 18.773 0.019
 57122.037 18.911 0.022
 57123.058 19.061 0.023
 57125.129 19.417 0.055
 57127.101 19.688 0.050
 57129.107 19.920 0.062
 57131.139 20.081 0.048
 57134.089 20.399 0.064
filter V
 57110.053 16.863 0.013
 57117.038 17.125 0.013
 57118.058 17.192 0.013
 57119.038 17.271 0.013
 57120.032 17.320 0.014
 57121.036 17.394 0.013
 57122.028 17.435 0.014
 57123.047 17.526 0.011
 57125.138 17.641 0.012
 57127.091 17.800 0.013
 57129.110 17.892 0.016
 57131.143 18.090 0.018
 57134.075 18.301 0.015
 57136.079 18.522 0.018
 57141.092 18.845 0.031
 57143.131 19.002 0.047
 57146.102 19.047 0.042
 57152.079 19.298 0.036
 57156.062 19.382 0.023
 57159.061 19.449 0.027
 57162.030 19.543 0.027
 57164.017 19.593 0.038
 57175.998 19.910 0.073
 57178.012 19.961 0.064
 57180.976 20.082 0.095
 57181.991 20.032 0.078
filter Y
 57109.174 17.547 0.016
 57111.069 17.735 0.016
 57114.078 17.907 0.026
 57115.026 18.069 0.024
 57120.091 18.198 0.021
filter r
 57110.056 16.840 0.010
 57117.040 17.157 0.014
 57118.048 17.261 0.013
 57119.026 17.346 0.010
 57120.035 17.427 0.013
 57121.040 17.498 0.013
 57122.032 17.561 0.014
 57123.051 17.582 0.012
 57125.123 17.610 0.010
 57127.093 17.649 0.014
 57129.100 17.708 0.016
 57131.130 17.752 0.014
 57134.081 17.896 0.013
 57136.084 18.031 0.014
 57141.084 18.366 0.020
 57143.120 18.597 0.028
 57146.106 18.650 0.028
 57152.086 18.797 0.026
 57156.052 19.068 0.021
 57159.051 19.106 0.021
 57162.038 19.323 0.028
 57164.005 19.254 0.025
 57176.006 19.610 0.057
 57178.000 19.733 0.050
 57178.998 19.456 0.065
 57180.970 19.659 0.090
 57181.994 19.948 0.078
