KISS15n 0.0231 195.1347 27.9781
filter B
 57154.142 17.589 0.018
 57155.091 17.217 0.012
 57156.114 16.862 0.014
 57157.123 16.563 0.011
 57158.085 16.326 0.009
 57159.096 16.131 0.009
 57160.091 15.967 0.007
 57162.144 15.754 0.008
 57163.144 15.668 0.006
 57164.111 15.613 0.008
 57165.129 15.593 0.007
 57166.079 15.558 0.005
 57173.065 15.667 0.008
 57174.084 15.735 0.009
 57175.074 15.758 0.011
 57176.082 15.816 0.009
 57177.091 15.887 0.009
 57178.070 15.953 0.008
 57179.038 16.040 0.008
 57180.057 16.128 0.008
 57181.047 16.213 0.009
 57182.038 16.322 0.008
 57184.032 16.517 0.008
filter g
 57155.096 17.097 0.010
 57156.119 16.754 0.010
 57157.127 16.476 0.011
 57158.077 16.243 0.007
 57159.090 16.072 0.007
 57160.084 15.909 0.008
 57161.093 15.779 0.008
 57162.147 15.680 0.005
 57163.138 15.608 0.005
 57164.105 15.552 0.007
 57165.138 15.506 0.005
 57166.082 15.480 0.005
 57173.052 15.531 0.007
 57174.074 15.584 0.007
 57175.061 15.624 0.007
 57176.085 15.655 0.007
 57177.083 15.717 0.006
 57178.073 15.776 0.007
 57179.040 15.835 0.005
 57180.051 15.924 0.006
 57181.041 15.992 0.005
 57182.042 16.093 0.005
 57184.024 16.270 0.006
filter i
 57154.135 17.819 0.029
 57154.138 17.797 0.024
 57155.097 17.457 0.015
 57156.120 17.122 0.016
 57157.128 16.932 0.038
 57158.079 16.703 0.008
 57159.091 16.514 0.008
 57160.085 16.403 0.009
 57161.094 16.284 0.010
 57162.149 16.233 0.008
 57163.139 16.168 0.007
 57164.106 16.131 0.014
 57165.141 16.055 0.091
 57166.084 16.101 0.008
 57173.056 16.066 0.022
 57174.076 16.170 0.010
 57175.064 16.221 0.011
 57176.088 16.231 0.009
 57177.084 16.277 0.009
 57178.075 16.303 0.010
 57179.043 16.351 0.010
 57180.053 16.390 0.008
 57181.042 16.428 0.009
 57182.049 16.471 0.008
 57184.026 16.485 0.007
filter Hd
 57169.070 16.367 0.052
 57170.091 16.348 0.054
 57172.056 16.378 0.057
 57173.073 16.431 0.053
filter r
 57154.134 17.504 0.018
 57154.139 17.509 0.018
 57155.094 17.156 0.010
 57156.117 16.823 0.012
 57157.126 16.589 0.011
 57158.076 16.375 0.008
 57159.088 16.197 0.007
 57160.083 16.061 0.008
 57161.092 15.945 0.008
 57162.148 15.852 0.006
 57163.137 15.766 0.006
 57164.104 15.710 0.008
 57165.134 15.646 0.006
 57166.083 15.606 0.005
 57173.054 15.518 0.011
 57174.075 15.547 0.007
 57175.063 15.606 0.008
 57176.087 15.601 0.007
 57177.082 15.658 0.006
 57178.074 15.697 0.008
 57179.042 15.744 0.006
 57180.050 15.787 0.005
 57181.040 15.836 0.006
 57182.043 15.884 0.005
 57184.023 15.955 0.006
filter u
 57155.098 17.577 0.039
 57156.123 17.183 0.020
 57157.130 16.919 0.025
 57158.081 16.664 0.013
 57159.093 16.508 0.015
 57160.087 16.330 0.011
 57161.096 16.201 0.012
 57162.154 16.123 0.012
 57163.141 16.089 0.011
 57164.108 16.067 0.014
 57166.087 16.049 0.009
 57173.059 16.434 0.022
 57174.079 16.483 0.017
 57175.067 16.588 0.028
 57176.091 16.649 0.020
 57177.087 16.751 0.019
 57178.080 16.823 0.017
 57179.044 16.918 0.017
 57180.054 17.016 0.019
 57181.044 17.179 0.024
 57182.050 17.302 0.025
 57184.028 17.545 0.021
filter V
 57154.140 17.404 0.020
 57155.093 17.045 0.011
 57156.116 16.728 0.013
 57157.124 16.474 0.009
 57158.084 16.257 0.008
 57159.095 16.090 0.010
 57160.089 15.948 0.007
 57161.098 15.835 0.009
 57162.145 15.740 0.006
 57163.143 15.650 0.007
 57164.110 15.585 0.006
 57165.130 15.551 0.006
 57166.080 15.522 0.006
 57173.063 15.453 0.009
 57174.082 15.498 0.008
 57175.072 15.515 0.008
 57176.084 15.572 0.010
 57177.090 15.581 0.008
 57178.072 15.630 0.008
 57179.039 15.686 0.007
 57180.056 15.739 0.006
 57181.046 15.807 0.006
 57182.040 15.867 0.007
 57184.030 16.013 0.007
filter Y
 57169.064 16.398 0.042
 57170.086 16.425 0.043
 57172.051 16.522 0.045
 57173.068 16.549 0.043
filter Jd
 57169.076 16.070 0.033
 57170.099 16.126 0.033
 57172.063 16.203 0.034
 57173.078 16.208 0.033
