LSQ12bld 0.0834 205.6835 8.0927
filter B
 56020.292 19.277 0.029
 56021.327 19.236 0.034
 56022.311 19.230 0.047
 56023.224 19.150 0.051
 56025.297 19.120 0.049
 56028.286 19.267 0.033
 56029.291 19.295 0.027
 56032.293 19.520 0.028
 56033.294 19.662 0.027
 56034.249 19.796 0.027
 56035.221 19.872 0.027
 56036.246 20.006 0.029
 56037.290 20.201 0.031
filter g
 56017.287 19.467 0.019
 56018.270 19.378 0.013
 56019.301 19.255 0.013
 56020.272 19.137 0.018
 56021.299 19.082 0.021
 56022.289 19.047 0.027
 56023.207 18.965 0.037
 56024.157 19.023 0.042
 56025.268 18.996 0.028
 56026.202 19.018 0.021
 56028.258 19.063 0.018
 56029.258 19.158 0.016
 56032.263 19.367 0.014
 56033.264 19.418 0.014
 56034.278 19.527 0.015
 56035.191 19.618 0.016
 56036.220 19.704 0.016
 56037.259 19.784 0.016
 56047.267 20.854 0.032
 56048.196 20.947 0.062
 56049.258 21.030 0.098
 56050.171 21.031 0.087
filter i
 56017.298 19.631 0.033
 56018.287 19.483 0.025
 56019.318 19.380 0.025
 56020.255 19.354 0.023
 56021.291 19.313 0.029
 56022.302 19.230 0.034
 56023.217 19.300 0.044
 56024.147 19.248 0.058
 56025.285 19.364 0.044
 56026.217 19.333 0.040
 56028.249 19.352 0.029
 56029.249 19.357 0.029
 56032.282 19.488 0.031
 56033.281 19.575 0.030
 56034.259 19.610 0.028
 56035.209 19.686 0.029
 56036.236 19.753 0.029
 56037.279 19.796 0.033
 56047.284 19.844 0.039
 56048.215 19.861 0.038
 56049.242 19.787 0.054
 56050.154 19.822 0.040
 56052.130 19.725 0.068
 56052.134 19.924 0.081
 56052.138 19.824 0.066
 56052.143 19.835 0.073
 56057.247 20.294 0.057
filter Hd
 56021.294 19.054 0.134
 56022.318 19.372 0.106
filter r
 56017.293 19.491 0.022
 56018.279 19.366 0.015
 56019.310 19.242 0.014
 56020.263 19.143 0.018
 56021.309 19.102 0.021
 56022.297 19.027 0.030
 56023.212 18.968 0.035
 56024.152 19.001 0.041
 56025.277 18.945 0.025
 56026.209 18.934 0.020
 56028.267 18.936 0.017
 56029.267 18.951 0.017
 56032.273 19.054 0.016
 56033.272 19.066 0.014
 56034.269 19.153 0.017
 56035.200 19.175 0.021
 56036.228 19.240 0.017
 56037.268 19.315 0.016
 56047.275 19.777 0.025
 56048.206 19.886 0.027
 56049.250 19.822 0.045
 56050.162 19.964 0.041
 56052.121 20.006 0.066
 56052.125 20.029 0.076
 56057.255 20.304 0.044
filter V
 56020.282 19.230 0.021
 56021.318 19.108 0.023
 56022.317 19.074 0.038
 56023.230 19.037 0.039
 56024.136 19.106 0.055
 56025.309 18.939 0.047
 56026.227 18.844 0.047
 56028.277 19.026 0.021
 56029.282 19.103 0.025
 56032.306 19.212 0.019
 56033.304 19.210 0.020
 56034.241 19.280 0.022
 56035.231 19.327 0.018
 56036.256 19.373 0.018
 56037.300 19.473 0.021
 56047.306 20.271 0.044
 56048.236 20.394 0.046
 56049.277 20.392 0.062
 56050.135 20.507 0.072
 56052.074 20.517 0.172
 56052.081 20.431 0.152
 56052.085 20.439 0.150
filter Y
 56021.345 19.153 0.037
 56022.293 19.166 0.032
 56028.238 19.338 0.049
 56028.252 19.433 0.046
 56028.258 19.399 0.050
filter Jd
 56021.255 19.363 0.029
 56022.348 19.302 0.054
 56028.290 19.797 0.066
