LSQ15aae 0.0516 247.5654 5.9330
filter B
 57110.402 18.255 0.010
 57111.394 18.194 0.011
 57112.395 18.154 0.009
 57113.404 18.101 0.009
 57117.414 18.123 0.018
 57118.357 18.117 0.016
 57119.389 18.150 0.018
 57122.351 18.324 0.014
 57123.374 18.381 0.014
 57125.376 18.532 0.014
 57126.341 18.578 0.015
 57129.328 18.838 0.014
 57130.350 18.965 0.015
 57131.349 19.035 0.016
 57132.332 19.172 0.023
 57134.363 19.380 0.016
 57135.405 19.495 0.019
 57136.353 19.582 0.015
 57137.371 19.678 0.016
 57138.316 19.738 0.016
 57139.310 19.808 0.019
 57140.309 19.969 0.019
 57141.251 19.995 0.028
 57142.328 20.061 0.029
 57143.273 20.125 0.056
 57146.321 20.345 0.161
 57146.325 20.221 0.157
filter g
 57110.385 18.158 0.009
 57111.411 18.073 0.011
 57112.377 18.025 0.008
 57113.384 17.977 0.010
 57117.395 17.988 0.015
 57118.318 17.967 0.019
 57118.321 17.974 0.021
 57119.368 18.054 0.013
 57122.334 18.127 0.012
 57123.357 18.203 0.012
 57125.356 18.292 0.011
 57125.362 18.305 0.011
 57126.321 18.360 0.011
 57129.343 18.594 0.009
 57130.329 18.675 0.011
 57131.324 18.757 0.015
 57132.311 18.823 0.014
 57134.352 19.008 0.013
 57135.388 19.114 0.014
 57136.363 19.167 0.012
 57137.381 19.271 0.014
 57138.301 19.323 0.013
 57139.296 19.430 0.014
 57140.281 19.487 0.012
 57141.275 19.571 0.023
 57142.310 19.617 0.024
 57143.258 19.711 0.032
 57144.312 19.628 0.065
 57144.315 19.706 0.088
 57145.273 19.753 0.098
 57145.276 19.830 0.075
 57146.301 20.040 0.150
 57146.304 19.877 0.111
 57151.321 20.218 0.054
 57152.325 20.207 0.041
 57153.313 20.346 0.040
 57154.257 20.362 0.031
 57155.323 20.395 0.026
 57156.314 20.622 0.031
 57158.272 20.560 0.024
 57160.340 20.670 0.026
 57162.269 20.718 0.034
 57164.239 20.726 0.044
 57166.283 20.801 0.028
 57180.218 20.932 0.065
 57181.283 20.860 0.071
filter i
 57110.389 18.325 0.017
 57111.418 18.244 0.022
 57112.380 18.276 0.016
 57113.388 18.258 0.020
 57117.399 18.347 0.022
 57118.323 18.344 0.034
 57118.325 18.350 0.029
 57119.372 18.360 0.020
 57122.337 18.405 0.019
 57123.360 18.473 0.019
 57126.325 18.651 0.020
 57129.347 18.874 0.020
 57130.333 18.928 0.022
 57132.316 18.962 0.034
 57134.355 18.967 0.026
 57135.396 18.970 0.026
 57136.371 19.022 0.024
 57137.389 18.916 0.020
 57138.305 18.883 0.021
 57139.300 18.911 0.020
 57142.317 18.852 0.022
 57143.262 18.845 0.020
 57144.318 18.944 0.040
 57144.321 18.834 0.039
 57145.279 18.812 0.025
 57146.307 18.761 0.036
 57146.310 18.741 0.036
 57151.329 18.948 0.027
 57156.322 19.291 0.044
filter r
 57110.382 18.133 0.012
 57111.415 18.077 0.014
 57112.373 18.013 0.010
 57113.380 17.966 0.014
 57117.392 17.829 0.013
 57118.314 17.846 0.016
 57118.316 17.817 0.022
 57119.364 17.865 0.013
 57122.332 17.883 0.014
 57123.355 17.919 0.013
 57125.359 18.010 0.011
 57126.318 18.034 0.011
 57129.338 18.206 0.010
 57130.325 18.267 0.009
 57132.307 18.355 0.012
 57134.348 18.438 0.013
 57135.385 18.453 0.014
 57136.367 18.511 0.014
 57137.385 18.514 0.012
 57138.297 18.556 0.017
 57139.292 18.554 0.013
 57141.264 18.637 0.025
 57142.306 18.678 0.022
 57143.253 18.629 0.017
 57144.306 18.726 0.039
 57144.309 18.654 0.035
 57145.269 18.833 0.041
 57145.271 18.736 0.032
 57146.293 18.795 0.038
 57146.296 18.770 0.037
 57151.325 19.044 0.023
 57152.330 19.032 0.026
 57181.277 20.127 0.041
filter u
 57110.393 18.889 0.023
 57111.406 18.876 0.026
 57112.385 18.783 0.021
 57113.393 18.784 0.020
 57117.404 18.869 0.048
 57118.337 18.906 0.037
 57119.378 19.079 0.048
 57122.342 19.353 0.043
 57123.365 19.464 0.048
 57125.368 19.652 0.039
 57126.330 19.741 0.035
 57129.353 20.140 0.040
 57130.339 20.361 0.056
 57131.335 20.531 0.056
 57132.322 20.624 0.114
filter V
 57110.398 18.189 0.011
 57111.400 18.127 0.013
 57112.391 18.072 0.011
 57113.400 18.015 0.011
 57117.410 18.024 0.020
 57118.345 17.978 0.018
 57119.384 17.989 0.017
 57122.347 18.061 0.017
 57123.370 18.106 0.014
 57125.380 18.165 0.015
 57126.336 18.215 0.013
 57129.334 18.344 0.012
 57130.345 18.417 0.011
 57131.342 18.486 0.015
 57132.328 18.532 0.019
 57134.358 18.649 0.017
 57135.400 18.697 0.016
 57136.359 18.764 0.016
 57137.377 18.823 0.017
 57138.310 18.846 0.015
 57139.304 18.938 0.016
 57140.293 18.988 0.016
 57141.259 19.024 0.021
 57142.322 19.082 0.019
 57143.267 19.158 0.029
 57144.324 19.192 0.061
 57144.327 19.159 0.064
 57145.283 19.191 0.063
 57145.286 19.237 0.046
 57146.314 19.220 0.067
 57146.316 19.236 0.066
 57151.316 19.554 0.039
 57152.318 19.659 0.030
 57153.306 19.713 0.036
 57154.269 19.757 0.037
 57155.309 19.874 0.032
 57156.298 19.940 0.029
 57158.289 20.030 0.027
 57160.323 20.048 0.027
 57162.285 20.157 0.027
 57164.254 20.256 0.027
 57166.298 20.181 0.027
 57180.196 20.480 0.049
 57181.296 20.509 0.060
filter Y
 57111.397 18.137 0.014
 57112.388 18.157 0.027
 57113.371 18.163 0.021
 57114.315 18.222 0.024
 57115.362 18.284 0.021
 57120.331 18.537 0.023
 57138.295 18.477 0.016
