ASAS15db 0.0110 236.7445 17.8840
filter B
 57069.381 15.164 0.016
 57075.378 14.791 0.009
 57080.382 14.959 0.010
 57082.367 15.076 0.015
 57083.363 15.145 0.009
 57084.358 15.234 0.012
 57085.399 15.311 0.013
 57086.354 15.401 0.011
 57087.365 15.517 0.010
 57088.353 15.600 0.012
 57089.338 15.732 0.011
 57090.391 15.875 0.012
 57091.328 15.973 0.013
 57092.376 16.117 0.014
 57093.387 16.208 0.012
 57094.378 16.339 0.016
 57095.376 16.455 0.014
 57096.367 16.559 0.015
 57097.395 16.675 0.021
 57098.391 16.768 0.022
 57099.369 16.865 0.019
 57101.379 17.061 0.020
 57118.279 17.879 0.029
 57120.322 17.955 0.028
 57122.304 17.973 0.029
filter V
 57069.382 15.057 0.029
 57069.382 15.057 0.029
 57075.379 14.714 0.009
 57080.383 14.752 0.009
 57082.368 14.823 0.010
 57083.362 14.920 0.013
 57084.359 14.923 0.011
 57085.397 14.957 0.015
 57086.355 15.015 0.017
 57087.364 15.084 0.012
 57088.351 15.162 0.013
 57089.339 15.221 0.009
 57090.390 15.266 0.016
 57091.330 15.358 0.010
 57092.378 15.415 0.013
 57093.385 15.529 0.016
 57094.380 15.564 0.019
 57095.378 15.597 0.014
 57096.366 15.656 0.013
 57097.393 15.694 0.024
 57098.390 15.777 0.017
 57099.373 15.854 0.019
 57101.381 15.978 0.011
 57110.319 16.586 0.025
 57112.406 16.716 0.022
 57118.277 16.985 0.022
 57120.320 16.923 0.019
 57122.301 17.009 0.023
 57129.280 17.219 0.023
 57135.353 17.371 0.031
filter g
 57069.383 15.067 0.015
 57075.381 14.728 0.008
 57076.353 14.717 0.013
 57080.384 14.854 0.007
 57082.369 14.935 0.011
 57083.358 14.991 0.009
 57084.360 15.033 0.009
 57085.393 15.120 0.017
 57086.359 15.203 0.013
 57087.358 15.269 0.009
 57088.346 15.361 0.013
 57089.343 15.452 0.009
 57090.386 15.550 0.012
 57091.333 15.648 0.012
 57092.379 15.716 0.009
 57093.379 15.813 0.017
 57094.382 15.925 0.014
 57095.379 16.015 0.012
 57096.360 16.126 0.015
 57098.383 16.316 0.020
 57099.380 16.392 0.015
 57101.385 16.587 0.011
 57112.408 17.326 0.022
 57118.263 17.518 0.028
 57120.309 17.580 0.022
 57122.286 17.590 0.019
 57129.268 17.728 0.029
filter r
 57069.384 15.003 0.016
 57075.380 14.670 0.008
 57080.384 14.705 0.008
 57082.370 14.791 0.015
 57083.357 14.867 0.009
 57084.361 14.920 0.009
 57085.392 14.999 0.021
 57086.358 15.108 0.012
 57087.357 15.164 0.012
 57088.344 15.245 0.020
 57089.341 15.298 0.010
 57090.385 15.321 0.012
 57091.331 15.374 0.014
 57092.380 15.391 0.011
 57093.378 15.375 0.022
 57094.383 15.421 0.013
 57095.380 15.439 0.016
 57099.378 15.515 0.014
 57101.383 15.604 0.010
 57110.312 16.190 0.022
 57112.409 16.297 0.013
 57118.261 16.545 0.022
 57120.307 16.609 0.017
 57122.284 16.707 0.016
 57129.267 16.897 0.019
 57135.340 17.251 0.044
filter i
 57069.384 15.218 0.020
 57075.382 15.188 0.013
 57076.354 15.241 0.020
 57080.385 15.361 0.013
 57082.371 15.445 0.020
 57083.359 15.562 0.013
 57084.362 15.628 0.014
 57085.393 15.705 0.024
 57086.360 15.810 0.020
 57087.360 15.879 0.014
 57088.347 15.903 0.024
 57089.344 15.983 0.017
 57090.387 15.942 0.019
 57091.334 15.913 0.018
 57092.382 15.930 0.019
 57093.380 15.852 0.021
 57094.386 15.816 0.018
 57095.381 15.794 0.015
 57096.362 15.765 0.015
 57097.389 15.750 0.025
 57098.384 15.726 0.016
 57099.382 15.717 0.017
 57101.386 15.732 0.011
 57110.314 16.161 0.021
 57112.411 16.334 0.019
 57118.265 16.613 0.021
 57120.311 16.718 0.020
 57122.288 16.793 0.023
 57129.270 17.119 0.025
 57135.344 17.375 0.028
filter u
 57069.386 15.596 0.022
 57075.384 15.344 0.019
 57076.355 15.395 0.023
 57080.387 15.716 0.015
 57082.372 15.982 0.022
 57083.360 16.094 0.020
 57084.363 16.155 0.018
 57085.395 16.284 0.020
 57086.362 16.385 0.022
 57087.362 16.530 0.025
 57088.348 16.679 0.024
 57089.347 16.828 0.027
 57090.388 17.007 0.031
 57091.336 17.177 0.035
 57092.384 17.315 0.027
 57093.383 17.480 0.028
 57094.387 17.632 0.031
 57095.383 17.695 0.032
 57096.364 17.869 0.038
 57097.391 17.960 0.034
 57098.387 18.063 0.038
 57099.385 18.211 0.036
 57101.390 18.468 0.048
 57110.325 18.891 0.067
 57110.332 18.859 0.049
 57112.415 18.875 0.059
 57118.270 19.052 0.084
 57120.315 19.085 0.057
 57122.292 19.190 0.065
 57129.275 19.269 0.067
 57135.348 19.568 0.082
filter Y
 57088.379 15.799 0.014
 57091.339 15.675 0.013
 57093.368 15.604 0.011
filter H
 57088.394 15.499 0.027
 57091.354 15.467 0.029
 57093.379 15.342 0.030
 57112.373 15.461 0.032
filter J
 57088.399 16.646 0.017
 57091.359 16.661 0.018
 57093.385 16.623 0.023
 57112.356 16.697 0.027
