CSP14aaq 0.0359 93.4502 -67.9208
filter r
 56711.059 17.260 0.024
 56712.096 17.162 0.023
 56713.142 17.063 0.022
 56714.097 16.942 0.015
 56717.077 16.831 0.021
 56718.100 16.880 0.018
 56720.052 16.892 0.021
 56722.091 16.930 0.020
 56729.046 17.237 0.023
 56736.026 17.641 0.028
 56743.015 17.810 0.065
 56750.988 18.183 0.036
 56757.019 18.611 0.041
 56762.986 18.764 0.045
filter i
 56711.060 17.567 0.030
 56712.098 17.524 0.037
 56713.144 17.365 0.030
 56717.075 17.422 0.031
 56718.099 17.342 0.025
 56720.054 17.510 0.028
 56722.093 17.486 0.031
 56729.048 18.200 0.048
 56736.024 18.098 0.046
 56743.016 17.960 0.115
 56750.983 18.441 0.049
 56757.020 18.828 0.048
 56762.981 18.824 0.055
filter g
 56711.061 17.192 0.019
 56712.099 17.071 0.019
 56713.145 16.986 0.013
 56714.101 16.828 0.012
 56714.103 16.921 0.013
 56717.078 16.782 0.014
 56718.102 16.741 0.011
 56720.051 16.805 0.012
 56722.090 16.867 0.014
 56729.045 17.307 0.016
 56736.027 18.120 0.026
 56743.013 19.340 0.134
 56750.990 19.985 0.105
 56757.017 20.517 0.140
 56762.988 19.980 0.073
filter u
 56711.063 17.335 0.019
 56712.101 17.235 0.018
 56713.147 17.150 0.016
 56714.104 17.107 0.016
 56714.106 17.136 0.017
 56714.108 17.156 0.016
 56717.081 17.147 0.017
 56718.105 17.131 0.016
 56720.056 17.383 0.019
 56722.095 17.547 0.017
 56729.050 18.451 0.041
 56736.029 19.835 0.113
 56736.033 19.747 0.092
filter V
 56711.065 17.337 0.028
 56712.103 17.187 0.028
 56713.149 17.181 0.021
 56714.090 17.073 0.018
 56717.084 16.928 0.021
 56718.110 16.868 0.018
 56720.049 16.889 0.018
 56722.087 16.947 0.020
 56729.044 17.215 0.019
 56736.021 17.798 0.035
 56743.022 18.308 0.041
 56751.006 18.877 0.048
 56757.028 19.862 0.115
 56762.999 19.801 0.110
filter B
 56711.067 17.189 0.019
 56712.104 17.066 0.018
 56713.150 16.999 0.014
 56714.092 16.967 0.017
 56717.085 16.830 0.016
 56718.114 16.811 0.008
 56720.046 16.861 0.011
 56722.085 16.929 0.012
 56729.042 17.444 0.022
 56736.016 18.320 0.040
 56743.024 19.500 0.074
 56751.012 20.049 0.093
 56763.001 20.087 0.104
