LSQ13dkp 0.0689 47.5415 -36.6291
filter i
 56637.174 19.127 0.023
 56638.162 19.108 0.022
 56639.067 19.039 0.022
 56640.105 19.018 0.020
 56641.114 19.052 0.022
 56643.139 19.099 0.037
 56643.139 19.121 0.038
 56644.170 19.038 0.022
 56645.157 19.138 0.023
 56646.130 19.156 0.024
 56647.176 19.269 0.022
 56648.152 19.292 0.022
 56649.129 19.416 0.020
 56650.113 19.509 0.024
 56653.120 19.573 0.024
 56656.169 19.498 0.022
 56662.131 19.600 0.025
 56664.180 19.768 0.023
 56666.078 19.962 0.037
 56668.125 20.142 0.037
 56678.171 20.672 0.071
 56678.174 20.724 0.081
filter r
 56637.178 19.083 0.019
 56638.157 18.986 0.018
 56639.063 18.889 0.016
 56640.100 18.837 0.018
 56641.110 18.805 0.016
 56643.137 18.744 0.025
 56644.167 18.765 0.017
 56645.154 18.755 0.016
 56646.127 18.812 0.019
 56647.172 18.817 0.017
 56648.148 18.872 0.015
 56649.125 18.948 0.012
 56650.108 18.996 0.016
 56653.116 19.223 0.015
 56656.174 19.397 0.017
 56662.139 19.826 0.020
 56664.186 20.029 0.026
 56666.072 20.109 0.030
 56668.119 20.289 0.036
 56678.165 20.792 0.050
filter V
 56637.182 19.027 0.018
 56638.152 18.932 0.017
 56639.076 18.844 0.018
 56640.110 18.780 0.019
 56641.102 18.747 0.020
 56643.134 18.660 0.031
 56643.134 18.661 0.032
 56644.163 18.695 0.023
 56645.150 18.786 0.020
 56646.134 18.786 0.019
 56647.180 18.864 0.020
 56648.144 18.905 0.016
 56649.133 18.960 0.014
 56650.103 19.017 0.016
 56653.105 19.332 0.016
 56656.180 19.635 0.019
 56662.144 20.250 0.030
 56666.085 20.600 0.048
 56668.134 20.666 0.062
filter B
 56637.186 19.067 0.017
 56638.148 19.015 0.017
 56639.072 18.909 0.017
 56640.115 18.865 0.019
 56641.096 18.856 0.020
 56643.131 18.867 0.031
 56644.159 18.922 0.024
 56645.146 18.979 0.024
 56646.137 19.100 0.021
 56647.183 19.228 0.025
 56648.140 19.334 0.019
 56649.137 19.496 0.020
 56650.098 19.666 0.021
 56653.110 20.183 0.028
 56656.186 20.588 0.036
 56662.149 21.286 0.037
 56666.093 21.566 0.090
filter Y
 56638.169 18.761 0.019
 56643.197 18.799 0.046
 56648.170 19.117 0.027
filter J
 56638.199 18.809 0.036
