LSQ13dpm 0.0509 157.2847 -17.1139
filter r
 56649.325 18.356 0.022
 56650.298 18.207 0.019
 56651.275 18.100 0.016
 56652.316 17.999 0.017
 56653.281 17.965 0.011
 56654.326 17.912 0.013
 56655.329 17.886 0.016
 56656.244 17.818 0.015
 56657.304 17.807 0.015
 56658.274 17.824 0.015
 56660.243 17.826 0.013
 56661.247 17.852 0.012
 56662.323 17.873 0.010
 56663.246 17.916 0.013
 56664.307 17.961 0.012
 56665.223 17.991 0.010
 56669.277 18.211 0.013
 56671.255 18.334 0.017
 56673.272 18.434 0.016
 56677.239 18.544 0.022
 56678.303 18.587 0.021
 56679.329 18.552 0.018
 56681.266 18.624 0.015
 56682.255 18.636 0.013
 56684.257 18.707 0.014
 56685.198 18.724 0.015
 56687.248 18.803 0.014
 56688.331 18.816 0.018
 56689.181 18.875 0.018
 56693.223 19.098 0.018
 56696.115 19.424 0.028
 56703.370 19.654 0.171
 56707.144 19.715 0.033
 56708.208 19.711 0.030
 56711.111 19.852 0.028
 56712.285 19.872 0.028
 56713.291 19.864 0.025
filter i
 56649.327 18.512 0.027
 56650.303 18.424 0.023
 56651.278 18.359 0.021
 56652.318 18.261 0.019
 56653.284 18.258 0.012
 56654.323 18.292 0.016
 56655.326 18.304 0.017
 56656.247 18.274 0.016
 56657.307 18.334 0.017
 56658.278 18.410 0.020
 56660.240 18.434 0.017
 56661.250 18.447 0.021
 56662.320 18.461 0.013
 56663.244 18.537 0.020
 56664.310 18.601 0.017
 56665.226 18.598 0.022
 56669.280 18.960 0.026
 56671.258 19.172 0.028
 56673.277 19.193 0.030
 56677.242 19.144 0.036
 56678.306 19.081 0.025
 56679.334 19.075 0.026
 56681.263 19.046 0.023
 56682.252 19.021 0.021
 56684.253 18.953 0.021
 56685.201 18.946 0.019
 56687.251 18.938 0.019
 56688.335 18.935 0.021
 56689.185 18.985 0.024
 56693.226 19.126 0.024
 56696.111 19.297 0.036
 56703.373 19.694 0.149
 56707.147 19.948 0.045
 56708.214 20.086 0.050
 56709.313 20.061 0.043
 56711.114 20.156 0.054
 56712.288 20.260 0.049
 56713.295 20.207 0.039
filter V
 56649.330 18.350 0.022
 56650.294 18.220 0.019
 56651.281 18.118 0.018
 56652.310 18.024 0.015
 56653.271 17.943 0.012
 56653.274 17.944 0.013
 56654.329 17.920 0.011
 56655.345 17.870 0.014
 56656.251 17.842 0.010
 56657.310 17.823 0.018
 56658.270 17.831 0.015
 56660.247 17.876 0.012
 56661.254 17.873 0.009
 56662.326 17.926 0.010
 56663.249 17.949 0.016
 56664.304 17.994 0.016
 56665.220 18.017 0.010
 56669.273 18.174 0.014
 56671.252 18.339 0.018
 56673.266 18.453 0.020
 56677.232 18.685 0.022
 56678.294 18.754 0.020
 56679.338 18.823 0.022
 56681.270 18.907 0.023
 56684.260 19.128 0.020
 56685.194 19.202 0.020
 56687.244 19.289 0.021
 56688.327 19.359 0.021
 56689.189 19.395 0.023
 56696.107 19.869 0.039
 56707.151 20.165 0.066
 56708.217 20.230 0.056
 56709.316 20.264 0.051
 56711.118 20.320 0.044
 56712.292 20.266 0.040
 56713.298 20.382 0.046
filter B
 56649.332 18.347 0.018
 56650.291 18.205 0.021
 56651.284 18.135 0.019
 56652.308 18.058 0.015
 56653.277 17.979 0.011
 56654.331 17.908 0.012
 56655.348 17.884 0.015
 56656.255 17.867 0.012
 56657.313 17.842 0.017
 56658.266 17.884 0.014
 56660.251 17.943 0.017
 56661.258 17.991 0.011
 56662.329 18.042 0.013
 56663.252 18.059 0.016
 56664.301 18.129 0.015
 56665.217 18.185 0.013
 56669.270 18.471 0.016
 56671.248 18.670 0.024
 56673.260 18.893 0.028
 56677.228 19.286 0.037
 56678.298 19.415 0.038
 56679.342 19.544 0.038
 56681.273 19.782 0.033
 56684.263 20.009 0.033
 56685.188 20.102 0.025
 56687.240 20.214 0.039
 56688.316 20.258 0.039
 56689.193 20.345 0.047
 56696.101 20.714 0.075
 56707.155 21.111 0.113
 56708.221 20.938 0.078
filter Y
 56650.266 18.222 0.014
 56651.301 18.141 0.014
 56652.304 18.106 0.014
 56653.280 18.082 0.014
 56654.329 18.125 0.014
 56670.272 19.045 0.023
filter H
 56650.288 18.263 0.037
 56651.324 18.183 0.024
 56653.296 18.196 0.038
 56654.345 18.310 0.048
filter J
 56650.311 18.149 0.019
 56651.338 17.966 0.019
 56652.346 17.960 0.020
 56653.328 18.021 0.020
 56670.314 19.613 0.038
