PTF14uo 0.0912 199.7404 9.7112
filter V
 56714.264 19.010 0.017
 56714.266 19.047 0.022
 56714.268 18.956 0.021
 56715.338 18.902 0.015
 56717.281 18.792 0.016
 56718.292 18.749 0.016
 56719.264 18.744 0.017
 56720.239 18.700 0.014
 56721.250 18.731 0.015
 56722.311 18.727 0.015
 56723.283 18.754 0.016
 56724.306 18.780 0.012
 56726.265 18.832 0.013
 56728.272 18.878 0.015
 56730.298 18.936 0.028
 56732.321 18.968 0.057
filter B
 56714.272 18.936 0.030
 56714.273 18.928 0.026
 56714.274 18.983 0.027
 56715.339 18.858 0.015
 56717.286 18.777 0.015
 56718.296 18.725 0.013
 56719.273 18.739 0.015
 56720.234 18.731 0.013
 56721.246 18.776 0.014
 56722.308 18.775 0.013
 56723.287 18.790 0.014
 56724.310 18.848 0.013
 56726.261 18.993 0.016
 56728.268 19.084 0.019
 56730.293 19.252 0.034
 56732.309 19.390 0.087
 56732.311 19.469 0.094
 56736.391 19.787 0.182
 56736.393 19.787 0.158
filter r
 56714.277 18.986 0.019
 56714.278 19.034 0.023
 56714.280 19.087 0.031
 56715.341 18.969 0.013
 56717.274 18.811 0.013
 56718.286 18.807 0.018
 56719.257 18.755 0.015
 56720.243 18.760 0.014
 56721.253 18.746 0.016
 56722.315 18.720 0.014
 56723.276 18.742 0.014
 56724.298 18.777 0.011
 56726.270 18.796 0.014
 56728.277 18.872 0.015
 56730.305 18.964 0.022
 56732.325 19.104 0.058
 56732.347 19.071 0.062
 56732.349 19.077 0.071
 56736.382 19.306 0.061
filter i
 56714.282 19.269 0.046
 56714.283 19.168 0.030
 56714.284 19.252 0.029
 56715.343 19.215 0.016
 56717.277 19.162 0.021
 56718.289 19.188 0.029
 56719.260 19.139 0.026
 56720.246 19.183 0.023
 56721.256 19.142 0.023
 56722.318 19.179 0.021
 56723.279 19.263 0.022
 56724.302 19.208 0.022
 56726.274 19.259 0.024
 56728.281 19.323 0.024
 56730.309 19.390 0.029
 56732.358 19.421 0.074
filter Y
 56726.324 19.574 0.089
