SN2004gc 0.0321 80.4581 6.6760
filter i
 53329.305 17.758 0.036
 53330.294 17.683 0.013
 53331.252 17.689 0.012
 53332.244 17.710 0.015
 53333.285 17.780 0.013
 53336.263 17.975 0.018
 53337.275 18.016 0.017
 53340.283 18.034 0.015
 53341.290 18.065 0.012
 53344.249 18.039 0.014
 53345.241 18.061 0.020
 53348.294 18.041 0.012
 53349.291 18.079 0.020
 53352.254 18.045 0.011
 53353.215 18.055 0.015
 53356.259 18.222 0.016
 53361.205 18.655 0.016
 53369.207 19.129 0.040
 53372.207 19.234 0.024
 53373.203 19.346 0.037
 53380.221 19.591 0.060
 53381.202 19.655 0.038
 53385.202 19.787 0.038
 53387.201 19.843 0.051
 53394.149 20.093 0.074
 53397.157 20.160 0.056
filter r
 53329.310 17.216 0.014
 53330.289 17.180 0.008
 53331.247 17.193 0.010
 53332.239 17.208 0.007
 53333.277 17.226 0.008
 53336.255 17.359 0.012
 53337.267 17.433 0.011
 53340.272 17.575 0.011
 53341.278 17.563 0.018
 53344.238 17.732 0.009
 53345.229 17.759 0.014
 53348.283 17.856 0.011
 53349.279 17.901 0.007
 53352.242 18.002 0.010
 53353.203 18.061 0.010
 53356.247 18.261 0.018
 53357.196 18.341 0.015
 53361.193 18.589 0.015
 53369.196 18.956 0.048
 53372.196 19.023 0.016
 53373.191 19.034 0.014
 53376.231 19.090 0.019
 53380.209 19.187 0.026
 53381.190 19.320 0.020
 53385.191 19.271 0.031
 53387.190 19.427 0.021
 53390.095 19.421 0.030
 53397.145 19.716 0.032
filter g
 53329.327 17.440 0.010
 53330.284 17.448 0.007
 53331.243 17.505 0.008
 53332.235 17.564 0.009
 53333.269 17.623 0.007
 53336.247 17.860 0.013
 53337.259 17.957 0.012
 53340.257 18.296 0.010
 53341.265 18.389 0.010
 53344.227 18.741 0.011
 53345.218 18.824 0.011
 53348.271 19.131 0.013
 53349.268 19.181 0.011
 53352.230 19.434 0.012
 53353.191 19.499 0.014
 53356.235 19.726 0.015
 53357.185 19.750 0.016
 53361.181 19.986 0.029
 53369.184 20.225 0.064
 53372.184 20.249 0.022
 53373.180 20.281 0.029
 53376.191 20.349 0.022
 53380.197 20.494 0.050
 53381.179 20.485 0.024
 53385.178 20.550 0.027
 53397.134 20.652 0.048
filter V
 53329.345 17.357 0.010
 53330.278 17.366 0.010
 53331.271 17.369 0.009
 53332.260 17.395 0.009
 53333.294 17.413 0.008
 53336.272 17.564 0.011
 53337.284 17.604 0.011
 53340.229 17.813 0.011
 53341.239 17.889 0.009
 53344.261 18.080 0.013
 53345.252 18.186 0.011
 53348.306 18.386 0.013
 53349.305 18.397 0.040
 53352.205 18.607 0.014
 53353.164 18.698 0.015
 53356.270 18.899 0.013
 53361.153 19.238 0.018
 53369.220 19.424 0.036
 53372.218 19.588 0.020
 53373.214 19.563 0.029
 53376.218 19.679 0.024
 53380.232 19.860 0.059
 53381.215 19.714 0.031
 53385.215 19.900 0.026
 53387.214 19.879 0.031
 53390.121 19.959 0.049
 53394.161 20.009 0.069
 53397.171 20.052 0.051
filter B
 53329.350 17.625 0.009
 53330.274 17.669 0.009
 53331.277 17.727 0.010
 53332.264 17.798 0.013
 53333.306 17.919 0.009
 53336.282 18.180 0.015
 53337.296 18.338 0.017
 53340.243 18.664 0.013
 53341.252 18.812 0.015
 53344.272 19.163 0.016
 53345.265 19.286 0.016
 53348.323 19.613 0.019
 53352.217 19.906 0.022
 53353.177 20.000 0.022
 53356.287 20.197 0.022
 53361.166 20.426 0.045
 53369.233 20.697 0.096
 53372.230 20.697 0.055
 53373.226 20.860 0.074
 53376.205 20.822 0.051
 53380.245 20.944 0.164
 53381.227 20.911 0.050
 53385.227 20.904 0.049
 53387.229 20.862 0.079
 53390.134 21.006 0.127
 53397.187 21.075 0.137
