SN2005hj 0.0580 21.7011 -1.2380
filter g
 53671.158 17.731 0.009
 53673.144 17.688 0.009
 53675.125 17.739 0.010
 53678.167 17.848 0.006
 53682.204 17.951 0.012
 53683.160 18.018 0.012
 53690.186 18.536 0.029
 53695.197 18.970 0.017
 53702.150 19.466 0.023
 53707.224 19.919 0.035
 53712.089 20.034 0.030
 53725.121 20.461 0.040
 53729.126 20.580 0.051
 53739.086 20.672 0.060
 53747.066 20.709 0.130
 53752.049 20.889 0.062
 53761.057 20.881 0.067
filter r
 53671.163 17.840 0.011
 53673.149 17.745 0.013
 53675.129 17.735 0.015
 53678.209 17.748 0.009
 53682.209 17.867 0.014
 53683.164 17.931 0.014
 53690.191 18.245 0.025
 53695.201 18.460 0.017
 53702.154 18.626 0.016
 53707.229 18.782 0.022
 53712.094 19.071 0.025
 53725.126 19.586 0.031
 53729.131 19.472 0.035
 53739.091 19.783 0.047
 53747.070 19.818 0.055
 53752.054 20.024 0.049
 53761.062 19.879 0.065
filter i
 53671.167 18.293 0.015
 53673.153 18.346 0.014
 53675.134 18.387 0.016
 53678.209 18.354 0.012
 53682.214 18.514 0.022
 53683.169 18.530 0.021
 53690.196 19.140 0.043
 53695.206 19.178 0.029
 53702.159 19.016 0.021
 53707.233 18.800 0.032
 53712.098 19.153 0.029
 53725.130 19.693 0.037
 53729.141 19.912 0.093
 53739.095 20.112 0.077
 53747.075 20.398 0.108
 53752.059 20.328 0.084
 53761.066 20.816 0.105
filter u
 53671.172 18.157 0.031
 53673.157 18.178 0.030
 53675.138 18.297 0.030
 53678.167 18.592 0.033
 53682.199 18.852 0.077
 53683.154 19.085 0.047
filter V
 53671.176 17.830 0.009
 53673.162 17.787 0.010
 53675.142 17.827 0.015
 53678.167 17.820 0.009
 53682.167 17.984 0.022
 53683.141 18.036 0.012
 53690.167 18.328 0.033
 53695.192 18.682 0.014
 53702.163 19.070 0.017
 53707.214 19.218 0.028
 53712.104 19.717 0.031
 53725.135 20.178 0.044
 53729.119 20.227 0.052
 53739.099 20.392 0.046
 53747.079 20.534 0.128
 53752.037 20.522 0.077
 53761.070 20.681 0.073
filter B
 53671.180 17.891 0.009
 53673.166 17.858 0.011
 53675.147 17.887 0.010
 53678.167 17.927 0.009
 53682.173 18.210 0.022
 53683.147 18.239 0.013
 53690.173 18.696 0.048
 53695.187 19.353 0.025
 53702.167 19.923 0.028
 53707.219 20.277 0.075
 53712.108 20.591 0.066
 53729.113 21.111 0.128
 53739.104 21.052 0.082
 53752.044 21.334 0.101
 53761.075 21.251 0.121
filter Y
 53672.058 18.249 0.068
 53672.067 18.247 0.069
 53674.111 18.292 0.064
 53674.120 18.303 0.064
 53676.057 18.342 0.069
 53676.068 18.271 0.069
 53677.121 18.408 0.074
 53697.086 18.646 0.105
 53697.095 18.726 0.114
 53701.103 18.501 0.103
 53701.112 18.451 0.082
 53709.137 18.233 0.061
 53709.145 18.323 0.064
filter J
 53672.075 18.144 0.145
 53672.084 18.293 0.116
 53674.129 18.427 0.135
 53676.078 18.369 0.132
 53676.087 18.126 0.106
 53677.137 18.577 0.149
 53677.146 18.161 0.098
