SN2007N 0.0129 192.2552 -9.4528
filter g
 54123.312 17.729 0.009
 54125.385 17.738 0.012
 54127.332 17.933 0.009
 54128.357 18.081 0.009
 54131.314 18.539 0.013
 54133.300 18.847 0.032
 54143.306 19.618 0.018
 54147.252 19.823 0.038
 54154.288 20.004 0.023
 54158.291 20.116 0.025
 54160.307 20.192 0.053
 54161.217 20.216 0.068
 54174.284 20.525 0.036
 54181.272 20.705 0.048
 54185.230 20.775 0.058
 54190.240 20.825 0.143
 54199.202 21.115 0.075
 54203.303 21.142 0.049
 54207.129 21.389 0.046
 54213.152 21.473 0.053
filter r
 54123.317 17.028 0.010
 54125.390 16.925 0.010
 54127.338 16.842 0.008
 54128.362 16.921 0.007
 54131.319 17.128 0.010
 54133.304 17.330 0.011
 54143.311 18.274 0.013
 54147.257 18.545 0.039
 54154.294 18.936 0.018
 54158.297 19.159 0.020
 54160.311 19.311 0.031
 54161.221 19.278 0.036
 54169.246 19.694 0.030
 54174.289 19.996 0.031
 54181.276 20.332 0.046
 54185.235 20.390 0.045
 54190.245 20.595 0.120
 54199.207 21.205 0.093
 54203.311 21.321 0.083
 54207.137 21.558 0.084
 54213.160 21.913 0.124
filter i
 54123.321 17.252 0.013
 54125.395 17.056 0.036
 54127.343 16.936 0.010
 54128.367 16.980 0.008
 54131.324 17.024 0.013
 54133.308 17.171 0.012
 54143.315 18.040 0.017
 54147.262 18.256 0.030
 54154.299 18.622 0.017
 54158.302 18.855 0.020
 54160.316 19.000 0.029
 54161.225 19.017 0.027
 54169.251 19.267 0.029
 54174.293 19.557 0.036
 54181.281 19.691 0.037
 54185.239 19.832 0.049
 54190.250 20.110 0.091
 54199.211 20.186 0.064
 54200.332 20.131 0.089
 54203.320 20.302 0.055
 54207.145 20.293 0.044
 54213.168 20.520 0.047
filter u
 54123.325 20.602 0.113
 54127.323 21.170 0.102
 54128.351 21.467 0.124
filter V
 54123.330 17.308 0.010
 54125.370 17.244 0.008
 54127.309 17.295 0.008
 54128.339 17.364 0.009
 54131.294 17.691 0.011
 54133.318 17.965 0.016
 54143.324 18.888 0.020
 54147.267 19.043 0.030
 54153.303 19.361 0.021
 54154.275 19.386 0.023
 54158.279 19.512 0.025
 54160.292 19.595 0.043
 54161.230 19.667 0.057
 54169.229 19.925 0.044
 54174.275 20.117 0.042
 54181.286 20.297 0.047
 54185.243 20.335 0.051
 54199.216 20.803 0.088
 54200.319 20.806 0.136
 54203.281 20.900 0.054
 54207.153 21.081 0.065
 54213.176 21.277 0.089
filter B
 54123.334 18.256 0.013
 54125.375 18.319 0.015
 54127.315 18.548 0.013
 54128.344 18.712 0.015
 54131.300 19.216 0.029
 54143.328 20.237 0.037
 54147.271 20.374 0.103
 54153.308 20.754 0.062
 54154.282 20.611 0.050
 54158.285 20.747 0.056
 54160.298 20.665 0.117
 54161.234 20.587 0.124
 54169.234 21.059 0.112
 54174.279 21.081 0.080
 54181.290 21.339 0.106
 54185.248 21.486 0.120
 54199.220 21.574 0.164
 54203.291 21.636 0.074
 54207.163 21.793 0.075
 54213.185 21.927 0.098
filter Y
 54124.267 16.704 0.024
 54124.275 16.692 0.022
 54126.366 16.555 0.016
 54126.376 16.567 0.021
 54128.324 16.494 0.008
 54128.330 16.498 0.010
 54129.268 16.443 0.017
 54129.277 16.485 0.017
 54131.370 16.420 0.010
 54131.376 16.402 0.014
 54132.310 16.443 0.019
 54132.318 16.456 0.022
 54135.266 16.566 0.017
 54135.274 16.579 0.020
 54140.373 16.951 0.024
 54140.382 16.944 0.023
 54150.298 17.770 0.043
 54150.307 17.683 0.045
 54156.230 18.088 0.056
 54156.238 17.982 0.063
 54158.388 18.230 0.020
 54158.397 18.238 0.022
 54160.338 18.320 0.033
 54160.344 18.370 0.038
 54164.234 18.550 0.081
 54164.243 18.407 0.079
 54169.229 18.764 0.032
 54180.223 19.009 0.091
 54180.232 19.180 0.140
filter J
 54124.284 16.551 0.023
 54124.296 16.535 0.017
 54128.307 16.414 0.011
 54128.313 16.443 0.011
 54129.288 16.444 0.018
 54129.302 16.430 0.019
 54132.327 16.518 0.023
 54132.339 16.648 0.023
 54135.283 16.924 0.026
 54135.295 16.893 0.025
 54150.315 18.913 0.176
 54150.327 18.843 0.141
 54160.359 19.458 0.112
 54169.252 19.739 0.137
filter H
 54124.307 16.390 0.033
 54124.320 16.388 0.028
 54126.384 16.304 0.035
 54128.341 16.282 0.039
 54128.349 16.266 0.040
 54129.315 16.189 0.030
 54129.328 16.321 0.033
 54132.350 16.438 0.046
 54132.366 16.374 0.036
 54135.306 16.651 0.054
 54135.320 16.683 0.062
 54140.391 17.229 0.079
 54160.376 19.068 0.193
 54160.383 18.910 0.167
