SN2007nq 0.0450 14.3899 -1.3886
filter g
 54397.134 17.437 0.013
 54400.172 17.432 0.010
 54403.104 17.561 0.007
 54407.232 17.922 0.008
 54409.126 18.102 0.009
 54411.120 18.373 0.009
 54413.131 18.662 0.011
 54417.151 19.188 0.014
 54421.106 19.599 0.023
 54422.120 19.734 0.029
 54423.120 19.838 0.034
 54427.160 20.089 0.086
 54430.115 20.260 0.073
 54435.050 20.345 0.024
 54440.084 20.474 0.024
 54443.164 20.508 0.042
 54445.121 20.613 0.030
 54449.070 20.684 0.043
 54455.056 20.751 0.111
 54456.061 20.766 0.119
 54466.063 20.884 0.045
 54468.053 20.951 0.046
 54476.064 21.066 0.058
filter r
 54397.139 17.496 0.013
 54400.177 17.442 0.010
 54403.109 17.496 0.009
 54407.237 17.772 0.009
 54409.130 17.887 0.012
 54411.125 17.996 0.010
 54413.136 18.055 0.009
 54417.147 18.201 0.010
 54421.111 18.435 0.012
 54422.124 18.535 0.012
 54423.124 18.608 0.014
 54427.165 18.950 0.030
 54430.119 19.134 0.027
 54435.055 19.316 0.015
 54440.089 19.457 0.018
 54443.169 19.559 0.029
 54445.127 19.636 0.019
 54449.075 19.785 0.031
 54455.061 19.970 0.058
 54456.065 19.999 0.062
 54457.066 19.975 0.056
 54458.044 19.991 0.049
 54466.069 20.349 0.034
 54468.058 20.413 0.036
 54476.070 20.625 0.045
filter i
 54397.143 17.918 0.018
 54400.183 17.954 0.017
 54403.114 18.029 0.013
 54407.241 18.455 0.016
 54409.134 18.572 0.019
 54411.130 18.588 0.017
 54413.141 18.484 0.020
 54417.142 18.356 0.016
 54421.115 18.433 0.016
 54422.128 18.491 0.018
 54423.129 18.638 0.021
 54427.169 18.926 0.035
 54430.105 19.085 0.029
 54435.059 19.420 0.028
 54440.093 19.727 0.032
 54443.174 19.751 0.058
 54445.131 19.811 0.035
 54449.079 20.008 0.038
 54455.065 20.275 0.100
 54456.070 20.341 0.083
 54457.071 20.281 0.088
 54458.048 20.322 0.079
 54466.073 20.752 0.074
 54468.062 20.658 0.073
 54476.075 21.167 0.122
filter u
 54397.147 18.050 0.031
 54403.098 18.613 0.024
 54407.245 19.382 0.092
 54409.139 19.544 0.051
 54411.114 19.925 0.057
 54413.124 20.380 0.120
filter V
 54397.152 17.502 0.015
 54400.149 17.468 0.013
 54403.085 17.547 0.009
 54407.250 17.776 0.011
 54409.143 17.922 0.012
 54411.100 18.069 0.011
 54413.110 18.222 0.014
 54417.160 18.606 0.014
 54421.124 18.958 0.020
 54422.137 19.065 0.024
 54423.103 19.120 0.028
 54427.156 19.325 0.049
 54430.126 19.537 0.049
 54435.068 19.791 0.022
 54440.102 19.904 0.027
 54443.146 20.029 0.038
 54445.102 20.062 0.027
 54449.088 20.189 0.048
 54455.074 20.177 0.090
 54456.078 20.301 0.104
 54457.049 20.372 0.119
 54466.051 20.567 0.038
 54468.066 20.540 0.044
 54472.041 20.617 0.053
 54476.051 20.797 0.069
filter B
 54397.156 17.557 0.014
 54400.158 17.617 0.017
 54403.091 17.732 0.009
 54407.254 18.151 0.016
 54409.147 18.423 0.014
 54411.106 18.725 0.013
 54413.116 19.036 0.021
 54417.164 19.569 0.024
 54421.128 20.066 0.036
 54422.141 20.106 0.051
 54423.099 20.234 0.065
 54427.151 20.597 0.187
 54430.131 20.693 0.166
 54435.072 20.737 0.045
 54440.107 20.906 0.050
 54443.151 20.899 0.080
 54445.107 20.962 0.059
 54449.092 21.120 0.093
 54466.057 21.239 0.070
 54468.071 21.266 0.074
 54472.045 21.344 0.091
filter Y
 54399.175 17.885 0.069
 54399.184 17.922 0.075
 54402.171 18.100 0.051
 54402.180 18.054 0.048
 54408.232 18.480 0.102
 54408.241 18.342 0.121
 54410.159 18.304 0.100
 54410.168 18.243 0.074
 54412.151 18.129 0.053
 54412.160 18.240 0.086
 54415.181 17.974 0.045
 54415.190 18.063 0.064
 54421.167 17.700 0.018
 54421.175 17.665 0.019
 54424.164 17.854 0.056
 54424.185 17.679 0.084
 54427.162 18.024 0.018
 54427.169 17.988 0.020
 54431.125 18.245 0.046
 54431.155 18.135 0.049
 54437.138 18.594 0.064
 54437.152 18.552 0.064
 54439.149 18.684 0.075
 54439.163 18.667 0.071
 54442.140 18.865 0.061
 54442.168 18.983 0.091
 54444.134 18.915 0.067
 54444.162 18.753 0.093
 54448.093 19.197 0.082
 54457.113 19.587 0.049
 54457.125 19.782 0.053
 54458.070 19.711 0.039
 54458.083 19.711 0.035
 54465.053 19.795 0.083
 54465.083 19.768 0.114
 54467.069 20.105 0.073
 54467.081 20.165 0.107
filter J
 54399.192 17.777 0.101
 54402.189 18.176 0.113
 54402.198 18.359 0.101
 54421.142 18.453 0.030
 54421.150 18.550 0.029
 54424.191 18.331 0.193
 54424.199 18.512 0.192
 54427.178 18.902 0.046
 54427.186 18.986 0.043
filter H
 54402.206 18.058 0.177
 54421.134 18.059 0.054
 54427.193 18.596 0.068
