SN2014I 0.0300 85.5825 -25.5444
filter Y
 56676.144 17.086 0.015
 56677.112 16.980 0.016
 56679.272 16.867 0.014
 56681.123 16.897 0.016
 56700.093 17.409 0.016
 56703.033 17.224 0.014
 56707.085 17.039 0.018
 56709.093 16.944 0.016
 56725.040 17.431 0.018
filter B
 56676.156 16.828 0.010
 56677.082 16.713 0.012
 56678.199 16.579 0.010
 56679.151 16.505 0.008
 56680.147 16.435 0.009
 56681.145 16.381 0.008
 56682.212 16.352 0.010
 56684.133 16.348 0.007
 56685.139 16.367 0.009
 56686.167 16.391 0.008
 56687.125 16.459 0.009
 56688.169 16.522 0.009
 56689.114 16.583 0.012
 56692.098 16.822 0.012
 56694.087 17.018 0.012
 56696.044 17.231 0.016
 56697.034 17.363 0.014
 56698.065 17.538 0.017
 56699.054 17.631 0.019
 56700.201 17.808 0.026
 56701.053 17.851 0.023
 56702.095 18.052 0.035
 56703.131 18.136 0.037
 56704.081 18.183 0.030
 56705.030 18.357 0.029
 56706.083 18.469 0.028
 56707.075 18.534 0.028
 56708.101 18.631 0.032
 56709.097 18.748 0.029
 56710.098 18.874 0.033
 56711.097 18.927 0.028
 56712.091 18.945 0.030
 56713.106 18.997 0.036
 56714.047 19.120 0.048
 56714.048 19.025 0.049
 56714.049 19.061 0.052
 56715.024 19.189 0.050
 56717.092 19.218 0.038
 56718.069 19.386 0.054
 56720.080 19.376 0.029
 56722.039 19.439 0.028
 56726.058 19.582 0.042
 56733.049 19.548 0.049
 56733.053 19.595 0.055
 56733.056 19.649 0.060
 56742.040 19.811 0.025
 56750.014 19.909 0.026
 56752.044 19.920 0.023
filter V
 56676.157 16.930 0.011
 56677.083 16.824 0.016
 56678.196 16.677 0.011
 56679.153 16.584 0.007
 56680.149 16.542 0.010
 56681.144 16.457 0.011
 56682.211 16.435 0.009
 56684.132 16.397 0.006
 56685.141 16.408 0.010
 56686.164 16.428 0.009
 56687.124 16.421 0.010
 56688.166 16.468 0.009
 56689.115 16.474 0.011
 56692.099 16.598 0.012
 56694.086 16.697 0.011
