SN2014ba 0.0058 343.7582 -39.6596
filter B
 56785.375 17.103 0.019
 56786.406 17.263 0.020
 56788.431 17.571 0.037
 56789.417 17.686 0.024
 56790.401 17.815 0.020
 56791.380 17.810 0.024
 56792.340 17.982 0.030
 56794.425 18.017 0.024
 56796.387 18.181 0.030
 56798.362 18.235 0.030
 56804.381 18.399 0.032
 56807.381 18.520 0.033
 56809.364 18.546 0.035
filter V
 56785.376 15.698 0.014
 56786.408 15.805 0.017
 56788.433 16.027 0.014
 56789.416 16.145 0.010
 56790.403 16.258 0.012
 56791.383 16.348 0.012
 56792.343 16.423 0.012
 56794.421 16.560 0.014
 56796.384 16.709 0.016
 56798.361 16.826 0.016
 56804.379 17.159 0.021
 56807.384 17.209 0.018
 56809.367 17.313 0.027
filter g
 56785.378 16.505 0.016
 56786.410 16.667 0.020
 56787.378 16.779 0.027
 56788.434 16.925 0.017
 56789.401 17.041 0.016
 56790.404 17.146 0.012
 56791.389 17.225 0.013
 56792.348 17.338 0.017
 56794.407 17.404 0.020
 56796.373 17.536 0.018
 56798.349 17.612 0.019
 56804.366 17.847 0.016
 56807.394 17.927 0.018
 56809.372 17.990 0.022
filter r
 56785.379 15.151 0.011
 56786.411 15.241 0.014
 56787.379 15.383 0.016
 56788.435 15.446 0.010
 56789.403 15.551 0.010
 56790.406 15.660 0.008
 56791.388 15.752 0.009
 56792.347 15.845 0.010
 56794.409 16.025 0.013
 56796.372 16.180 0.014
 56798.350 16.331 0.009
 56804.368 16.700 0.014
 56807.393 16.877 0.013
 56809.371 17.006 0.018
filter i
 56785.381 14.905 0.014
 56786.412 14.997 0.019
 56788.436 15.157 0.012
 56789.404 15.244 0.010
 56790.407 15.365 0.007
 56791.386 15.470 0.011
 56792.345 15.541 0.011
 56794.410 15.731 0.012
 56796.370 15.905 0.014
 56798.351 16.062 0.011
 56804.369 16.467 0.012
 56807.390 16.637 0.014
 56809.369 16.733 0.021
filter u
 56785.387 18.794 0.033
 56786.415 18.963 0.033
 56789.407 19.436 0.041
 56789.412 19.484 0.044
 56790.411 19.535 0.037
 56791.394 19.615 0.068
 56792.361 19.841 0.101
 56794.415 19.769 0.084
 56796.378 19.846 0.061
 56798.356 20.045 0.100
 56804.374 19.934 0.050
 56809.378 20.104 0.049
filter Y
 56785.420 14.407 0.010
 56786.373 14.435 0.009
 56787.370 14.469 0.011
 56789.421 14.609 0.009
 56791.345 14.755 0.009
 56793.355 15.024 0.011
 56796.349 15.275 0.009
filter H
 56785.428 14.154 0.031
 56786.383 14.201 0.031
 56789.430 14.506 0.039
 56791.327 14.650 0.028
 56793.365 15.013 0.048
 56796.363 15.338 0.032
filter J
 56785.431 14.365 0.017
 56786.387 14.430 0.016
 56789.433 14.703 0.017
 56791.352 15.003 0.016
 56793.367 15.396 0.019
 56796.375 15.825 0.024
