CSP12N 0.0971 189.5675 -15.1089
filter B
 56013.257 19.306 0.019
 56014.210 19.126 0.013
 56015.205 19.070 0.017
 56016.225 18.950 0.017
 56017.136 18.917 0.015
 56018.139 18.821 0.012
 56019.210 18.792 0.014
 56020.129 18.738 0.015
 56021.141 18.741 0.018
 56022.116 18.737 0.021
 56025.102 18.835 0.028
 56026.091 18.883 0.022
 56028.073 18.961 0.012
 56029.088 19.002 0.011
 56030.152 19.083 0.015
 56031.248 19.164 0.015
 56032.088 19.209 0.014
 56033.146 19.244 0.014
 56034.119 19.350 0.016
 56035.077 19.399 0.016
 56036.110 19.488 0.017
 56037.086 19.581 0.014
 56056.028 21.340 0.043
filter g
 56013.238 19.250 0.013
 56014.238 19.087 0.011
 56015.229 18.983 0.011
 56016.247 18.889 0.012
 56017.160 18.841 0.011
 56018.151 18.770 0.011
 56019.186 18.701 0.011
 56020.139 18.689 0.011
 56021.152 18.678 0.015
 56022.144 18.654 0.014
 56025.128 18.723 0.017
 56026.109 18.752 0.013
 56028.083 18.811 0.009
 56029.104 18.861 0.008
 56030.164 18.906 0.019
 56031.216 18.980 0.011
 56032.117 19.036 0.009
 56033.116 19.098 0.009
 56034.091 19.150 0.012
 56035.049 19.234 0.013
 56036.082 19.287 0.012
 56037.114 19.366 0.011
 56048.033 20.249 0.036
 56056.992 20.938 0.019
filter i
 56013.250 19.561 0.023
 56014.223 19.506 0.021
 56015.214 19.408 0.024
 56016.233 19.305 0.023
 56017.144 19.295 0.021
 56018.167 19.282 0.018
 56019.202 19.244 0.018
 56020.157 19.230 0.020
 56021.181 19.216 0.027
 56022.127 19.217 0.042
 56025.111 19.352 0.033
 56026.125 19.334 0.028
 56028.100 19.307 0.020
 56029.124 19.365 0.023
 56031.235 19.410 0.021
 56032.099 19.493 0.021
 56033.135 19.594 0.027
 56034.109 19.599 0.025
 56035.067 19.701 0.026
 56036.099 19.805 0.024
 56037.097 19.826 0.031
 56048.058 19.997 0.037
 56052.038 19.833 0.071
 56052.038 19.874 0.074
 56057.017 19.921 0.029
filter r
 56013.244 19.393 0.016
 56014.231 19.235 0.016
 56015.221 19.096 0.015
 56016.241 19.026 0.016
 56017.151 18.959 0.014
 56018.159 18.890 0.013
 56019.194 18.849 0.013
 56020.148 18.792 0.013
 56021.162 18.816 0.018
 56022.136 18.735 0.019
 56025.120 18.753 0.019
 56026.117 18.777 0.014
 56028.092 18.849 0.012
 56029.115 18.874 0.011
 56031.227 18.947 0.011
 56032.109 18.985 0.012
 56033.126 19.026 0.012
 56034.100 19.078 0.016
 56035.058 19.134 0.016
 56036.091 19.189 0.016
 56037.106 19.215 0.013
 56048.049 19.707 0.022
 56057.005 19.989 0.023
filter V
 56013.264 19.299 0.018
 56014.196 19.142 0.015
 56015.197 19.006 0.014
 56016.218 18.938 0.018
 56017.127 18.874 0.015
 56018.130 18.800 0.014
 56019.219 18.719 0.013
 56020.119 18.709 0.015
 56021.130 18.691 0.018
 56022.107 18.688 0.019
 56025.093 18.734 0.021
 56026.099 18.736 0.017
 56028.063 18.803 0.014
 56029.079 18.807 0.013
 56030.139 18.853 0.014
 56031.256 18.929 0.017
 56032.079 18.958 0.013
 56033.155 19.006 0.015
 56034.128 19.065 0.015
 56035.087 19.091 0.017
 56036.119 19.153 0.015
 56037.075 19.237 0.016
 56056.017 20.342 0.022
filter Y
 56021.175 19.637 0.032
 56022.117 19.567 0.033
 56028.070 19.854 0.046
 56028.083 19.957 0.047
 56029.151 19.934 0.046
filter Jrc2
 56021.109 19.413 0.037
 56028.132 19.914 0.068
 56029.102 20.186 0.083
