LSQ13abo 0.0674 224.8383 -17.1526
filter B
 56401.299 19.540 0.020
 56402.274 19.435 0.036
 56403.238 19.326 0.046
 56404.304 19.270 0.040
 56405.283 19.180 0.086
 56406.269 19.144 0.078
 56411.320 19.319 0.031
 56416.345 19.677 0.041
 56417.336 19.910 0.046
 56418.307 19.922 0.038
 56419.302 20.051 0.046
 56420.311 20.131 0.028
 56423.268 20.489 0.053
 56424.310 20.663 0.045
filter i
 56401.321 19.350 0.029
 56402.261 19.217 0.025
 56403.256 19.167 0.024
 56404.327 19.173 0.026
 56405.302 19.043 0.053
 56406.253 19.055 0.051
 56411.347 19.244 0.030
 56415.371 19.487 0.032
 56416.327 19.522 0.038
 56417.313 19.439 0.027
 56418.325 19.526 0.030
 56419.331 19.699 0.039
 56420.342 19.662 0.035
 56423.297 19.638 0.035
 56424.338 19.723 0.037
 56434.280 19.602 0.039
 56438.318 19.689 0.067
filter r
 56401.314 19.180 0.024
 56402.255 19.068 0.018
 56403.263 18.985 0.020
 56404.335 18.940 0.013
 56405.293 18.803 0.033
 56406.244 18.754 0.025
 56411.339 18.730 0.016
 56415.363 18.770 0.017
 56416.319 18.864 0.019
 56417.305 18.978 0.016
 56418.317 19.014 0.021
 56419.323 19.056 0.016
 56420.334 19.043 0.025
 56423.288 19.286 0.019
 56424.328 19.362 0.019
 56427.362 19.459 0.108
 56434.270 19.708 0.041
 56438.309 20.034 0.073
filter V
 56401.306 19.559 0.032
 56402.286 19.275 0.031
 56403.244 19.196 0.035
 56404.312 19.051 0.024
 56405.274 19.080 0.097
 56406.261 18.998 0.048
 56411.329 19.011 0.027
 56415.379 19.134 0.026
 56416.335 19.127 0.025
 56417.347 19.178 0.025
 56418.296 19.345 0.023
 56419.314 19.311 0.025
 56420.323 19.445 0.035
 56423.278 19.607 0.028
 56424.319 19.734 0.034
 56434.257 20.423 0.081
filter Y
 56404.360 18.826 0.033
 56405.319 18.850 0.030
 56406.355 18.929 0.033
filter Jrc2
 56404.394 18.917 0.049
