SN2013aa 0.0040 218.1412 -44.2244
filter B
 56338.360 11.881 0.010
 56339.369 11.803 0.013
 56340.384 11.756 0.012
 56341.390 11.704 0.011
 56342.386 11.692 0.011
 56343.375 11.695 0.014
 56344.392 11.690 0.014
 56345.381 11.741 0.018
 56346.394 11.755 0.016
 56351.398 12.016 0.014
 56352.384 12.103 0.016
 56353.390 12.166 0.014
 56354.377 12.252 0.014
 56355.356 12.327 0.014
 56356.414 12.444 0.016
 56357.356 12.532 0.014
 56358.342 12.642 0.016
 56359.393 12.756 0.013
 56360.357 12.855 0.014
 56364.402 13.298 0.014
 56365.396 13.401 0.015
 56366.327 13.494 0.012
 56367.360 13.593 0.016
 56368.332 13.691 0.015
 56370.389 13.902 0.015
 56371.372 13.982 0.013
 56372.372 14.069 0.013
 56373.405 14.136 0.012
 56374.419 14.224 0.013
 56376.406 14.363 0.013
 56377.347 14.388 0.015
 56378.425 14.457 0.016
 56379.302 14.505 0.016
 56380.319 14.569 0.016
 56381.307 14.590 0.014
 56382.382 14.653 0.013
 56384.410 14.714 0.013
 56386.402 14.768 0.010
 56393.400 14.916 0.011
 56397.385 14.979 0.012
 56400.258 15.032 0.012
 56403.227 15.068 0.012
 56406.215 15.118 0.012
 56409.300 15.160 0.011
 56417.188 15.276 0.010
 56422.360 15.354 0.010
 56426.157 15.407 0.011
 56434.230 15.545 0.012
 56436.313 15.562 0.014
 56444.130 15.678 0.011
 56446.178 15.707 0.012
 56448.226 15.751 0.011
 56653.354 18.715 0.024
 56685.319 19.214 0.016
 56707.342 19.537 0.043
 56714.318 19.709 0.027
 56714.319 19.724 0.028
 56714.321 19.721 0.027
 56724.322 19.803 0.024
 56756.234 20.355 0.030
 56762.270 20.280 0.066
 56762.272 20.533 0.077
 56783.370 20.783 0.048
 56885.032 22.631 0.121
filter g
 56338.367 11.824 0.007
 56339.375 11.743 0.011
 56340.389 11.679 0.008
 56341.385 11.641 0.007
 56342.377 11.634 0.007
 56343.370 11.625 0.008
 56344.388 11.627 0.008
 56345.373 11.665 0.012
 56346.389 11.658 0.012
 56351.392 11.902 0.010
 56351.393 11.899 0.010
 56352.379 11.937 0.012
 56353.392 11.984 0.009
 56354.370 12.058 0.008
 56355.350 12.124 0.011
 56356.410 12.200 0.008
 56357.359 12.289 0.009
 56358.337 12.355 0.011
 56359.388 12.453 0.007
 56360.359 12.529 0.009
 56364.394 12.879 0.008
 56365.399 12.966 0.010
 56366.321 13.044 0.013
 56367.363 13.142 0.010
 56368.336 13.232 0.012
 56369.340 13.319 0.011
 56370.391 13.430 0.009
 56371.375 13.515 0.009
 56372.366 13.607 0.010
 56373.407 13.678 0.008
 56374.421 13.748 0.010
 56376.408 13.894 0.010
 56377.339 13.939 0.013
 56378.427 13.995 0.014
 56379.291 14.044 0.015
 56379.293 14.043 0.013
 56380.311 14.105 0.013
 56381.301 14.153 0.013
 56382.375 14.190 0.010
 56384.413 14.276 0.009
 56386.392 14.346 0.008
 56389.419 14.395 0.008
 56393.405 14.494 0.007
 56397.378 14.572 0.007
 56400.266 14.626 0.008
 56403.218 14.667 0.009
 56406.222 14.724 0.009
 56409.280 14.779 0.009
 56417.192 14.918 0.008
 56422.343 14.995 0.007
 56426.148 15.050 0.008
 56434.221 15.201 0.008
 56436.299 15.234 0.009
 56444.134 15.357 0.008
 56446.166 15.377 0.009
 56448.214 15.424 0.008
 56685.309 18.880 0.017
 56707.331 19.221 0.026
 56714.323 19.380 0.014
 56714.324 19.368 0.015
 56714.325 19.369 0.015
 56724.330 19.475 0.019
 56756.242 19.996 0.024
 56762.252 20.049 0.073
 56762.254 20.093 0.070
 56783.398 20.411 0.035
 56885.042 22.285 0.066
filter i
 56338.369 12.164 0.011
 56339.377 12.160 0.012
 56340.391 12.144 0.009
 56341.387 12.161 0.008
 56342.380 12.189 0.007
 56343.372 12.243 0.010
 56344.390 12.287 0.009
 56345.376 12.327 0.016
 56346.391 12.361 0.016
 56351.395 12.643 0.013
 56352.381 12.756 0.017
 56353.395 12.819 0.012
 56354.373 12.922 0.013
 56355.352 13.015 0.013
 56356.412 13.105 0.015
 56357.361 13.154 0.013
 56358.339 13.164 0.013
 56359.390 13.167 0.009
 56360.361 13.157 0.014
 56364.396 13.043 0.009
 56365.401 13.010 0.013
 56366.320 12.983 0.015
 56367.365 12.951 0.013
 56368.338 12.919 0.016
 56369.342 12.873 0.013
 56370.394 12.857 0.011
 56371.377 12.850 0.011
 56372.368 12.858 0.011
 56373.409 12.873 0.009
 56374.423 12.898 0.010
 56376.410 12.972 0.012
 56377.342 12.994 0.015
 56378.429 13.109 0.017
 56379.295 13.129 0.018
 56380.310 13.265 0.020
 56381.300 13.319 0.016
 56382.374 13.369 0.009
 56384.415 13.506 0.009
 56386.395 13.608 0.009
 56389.421 13.747 0.009
 56393.407 13.924 0.009
 56397.376 14.076 0.008
 56400.264 14.187 0.008
 56403.221 14.282 0.010
 56406.228 14.411 0.011
 56409.275 14.527 0.009
 56417.196 14.810 0.009
 56422.348 14.996 0.007
 56426.150 15.120 0.010
 56434.220 15.384 0.010
 56436.305 15.454 0.012
 56444.138 15.700 0.008
 56446.169 15.745 0.012
 56448.217 15.803 0.012
 56653.363 19.023 0.038
 56685.298 19.391 0.022
 56714.331 19.701 0.026
 56714.333 19.719 0.029
 56714.334 19.744 0.027
 56724.338 19.860 0.040
 56756.250 20.233 0.036
 56762.259 20.372 0.091
 56762.261 20.288 0.075
 56783.382 20.454 0.068
filter H
 56342.315 12.279 0.013
 56343.303 12.347 0.012
 56344.328 12.384 0.011
 56345.355 12.434 0.013
 56346.311 12.533 0.012
 56347.323 12.477 0.011
 56348.327 12.485 0.011
 56349.373 12.524 0.011
 56350.374 12.558 0.011
 56351.359 12.607 0.011
 56352.334 12.619 0.011
 56353.358 12.643 0.011
 56354.347 12.676 0.011
 56377.410 12.470 0.015
 56383.353 12.818 0.012
 56399.398 13.576 0.013
 56405.280 13.806 0.011
filter r
 56338.370 11.867 0.010
 56339.373 11.822 0.013
 56340.390 11.743 0.010
 56341.386 11.701 0.008
 56342.379 11.710 0.008
 56343.371 11.673 0.009
 56344.389 11.695 0.010
 56345.375 11.693 0.014
 56346.390 11.674 0.012
 56351.394 11.887 0.011
 56352.380 11.967 0.013
 56353.394 12.040 0.012
 56354.372 12.124 0.009
 56355.351 12.218 0.011
 56356.411 12.290 0.010
 56357.360 12.341 0.010
 56358.338 12.408 0.011
 56359.389 12.444 0.008
 56360.360 12.473 0.011
 56364.398 12.526 0.008
 56365.400 12.535 0.010
 56366.319 12.549 0.011
 56367.364 12.570 0.013
 56368.337 12.592 0.012
 56369.341 12.594 0.011
 56370.393 12.655 0.009
 56371.376 12.674 0.010
 56372.367 12.717 0.011
 56373.408 12.762 0.008
 56374.422 12.807 0.010
 56376.409 12.925 0.012
 56377.341 12.984 0.013
 56378.428 13.067 0.013
 56379.294 13.127 0.014
 56380.309 13.178 0.015
 56381.299 13.232 0.013
 56382.373 13.317 0.009
 56384.414 13.427 0.009
 56386.394 13.505 0.008
 56389.420 13.638 0.008
 56393.406 13.777 0.008
 56397.377 13.908 0.008
 56400.263 14.012 0.009
 56403.219 14.102 0.010
 56406.225 14.193 0.013
 56409.271 14.290 0.013
 56417.194 14.545 0.012
 56422.345 14.710 0.008
 56426.149 14.833 0.009
 56434.217 15.079 0.008
 56436.302 15.162 0.010
 56444.136 15.382 0.009
 56446.167 15.432 0.013
 56448.215 15.511 0.013
 56653.360 20.034 0.056
 56685.304 20.541 0.036
 56714.327 20.990 0.047
 56714.328 21.142 0.058
 56714.330 21.114 0.050
 56724.334 21.162 0.063
 56756.246 21.650 0.066
filter u
 56338.371 12.200 0.018
 56339.376 12.149 0.019
 56340.388 12.128 0.016
 56341.388 12.126 0.016
 56342.381 12.139 0.016
 56343.373 12.158 0.017
 56344.391 12.244 0.022
 56345.379 12.287 0.019
 56346.392 12.333 0.020
 56351.396 12.806 0.018
 56352.382 12.888 0.017
 56353.396 12.996 0.014
 56354.374 13.098 0.015
 56355.353 13.213 0.015
 56357.362 13.498 0.016
 56358.340 13.602 0.016
 56359.385 13.755 0.014
 56360.362 13.868 0.016
 56364.400 14.429 0.015
 56365.402 14.569 0.016
 56366.323 14.666 0.021
 56367.366 14.785 0.017
 56368.339 14.863 0.014
 56369.343 14.966 0.014
 56371.381 15.172 0.015
 56372.370 15.244 0.013
 56373.411 15.324 0.013
 56374.425 15.412 0.019
 56376.412 15.494 0.013
 56377.344 15.532 0.016
 56378.431 15.598 0.026
 56379.297 15.648 0.016
 56380.313 15.682 0.016
 56381.303 15.705 0.016
 56382.377 15.763 0.014
 56384.417 15.835 0.015
 56386.398 15.890 0.013
 56393.410 16.031 0.013
 56397.381 16.115 0.013
 56400.268 16.183 0.015
 56403.223 16.216 0.015
 56406.232 16.318 0.015
 56409.291 16.373 0.016
 56417.199 16.521 0.012
 56422.352 16.656 0.014
 56426.153 16.701 0.016
 56434.224 16.902 0.020
 56436.308 16.940 0.030
 56444.141 17.145 0.015
 56446.172 17.163 0.015
 56448.220 17.210 0.013
filter V
 56338.362 11.862 0.011
 56339.371 11.785 0.013
 56340.386 11.716 0.011
 56341.389 11.655 0.011
 56342.382 11.645 0.011
 56343.374 11.637 0.013
 56344.391 11.614 0.013
 56345.380 11.629 0.016
 56346.393 11.634 0.016
 56351.397 11.817 0.014
 56352.383 11.842 0.017
 56353.391 11.914 0.016
 56354.376 11.944 0.013
 56355.355 12.012 0.016
 56356.413 12.103 0.014
 56357.357 12.182 0.013
 56358.341 12.210 0.015
 56359.392 12.285 0.012
 56360.358 12.320 0.014
 56364.401 12.560 0.013
 56365.398 12.603 0.013
 56366.326 12.650 0.012
 56367.362 12.697 0.015
 56368.334 12.766 0.014
 56370.390 12.900 0.013
 56371.374 12.940 0.014
 56372.371 13.002 0.014
 56373.406 13.062 0.013
 56374.420 13.138 0.014
 56376.407 13.233 0.015
 56377.346 13.301 0.018
 56378.423 13.382 0.015
 56379.300 13.402 0.017
 56380.318 13.495 0.017
 56381.305 13.533 0.016
 56382.381 13.600 0.014
 56384.412 13.682 0.014
 56386.400 13.740 0.012
 56393.403 13.954 0.013
 56397.384 14.058 0.011
 56400.260 14.134 0.011
 56403.226 14.214 0.012
 56406.218 14.298 0.012
 56409.296 14.372 0.011
 56417.190 14.571 0.011
 56422.357 14.694 0.011
 56426.156 14.792 0.012
 56434.228 14.994 0.013
 56436.312 15.038 0.012
 56444.132 15.216 0.011
 56446.176 15.235 0.013
 56448.224 15.302 0.012
 56653.350 18.556 0.022
 56685.314 19.035 0.017
 56707.339 19.445 0.040
 56714.314 19.578 0.024
 56714.315 19.522 0.024
 56714.316 19.515 0.023
 56724.326 19.640 0.028
 56756.238 20.126 0.031
 56762.264 20.241 0.072
 56762.267 20.122 0.065
 56783.375 20.657 0.055
filter Y
 56342.312 12.209 0.015
 56343.305 12.360 0.013
 56344.326 12.464 0.013
 56345.357 12.612 0.014
 56346.314 12.668 0.014
 56347.321 12.719 0.012
 56348.324 12.796 0.012
 56349.376 12.876 0.012
 56350.370 12.935 0.012
 56351.355 13.036 0.012
 56352.324 13.082 0.012
 56352.337 13.099 0.012
 56353.356 13.099 0.012
 56354.344 13.137 0.012
 56377.407 12.015 0.014
 56383.350 12.332 0.014
 56399.393 13.261 0.014
 56405.274 13.598 0.013
filter Jrc2
 56342.317 12.015 0.012
 56343.300 11.989 0.011
 56344.330 12.133 0.010
 56345.353 12.211 0.012
 56346.308 12.177 0.012
 56347.319 12.379 0.010
 56348.321 12.467 0.010
 56349.379 12.595 0.010
 56350.367 12.727 0.010
 56351.352 12.897 0.010
 56352.341 13.110 0.010
 56353.360 13.309 0.010
 56354.350 13.515 0.010
 56377.404 13.170 0.011
 56383.358 13.658 0.011
 56399.403 14.880 0.013
 56405.288 15.240 0.012
