comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
0,-4.857934968000336,-7.349168301341706,,53827.12573496801,0.5134401195202589,1.0021629294151093,0.007773771619864725,15.01531697945206,0.006459594784485899,15.197256655586235,0.0066272583890680465,15.708048616315518,0.020754661430777907,,
1,-0.9892622796542128,-5.418762279659859,,53827.13359561299,0.5132970307191312,1.0014935779657008,0.007798396885198757,15.015096398248659,0.006512754786526355,15.19702586345468,0.006669598930656694,15.704255042065911,0.024877424696517506,,
2,2.0501127918687416,-3.8970538747998944,,53827.129553874795,0.5119393962210884,1.0023734358023668,0.007635586698201958,15.015500434677822,0.006349341140731386,15.197575678161554,0.006521266657647452,15.732253245813899,0.028704260113060136,,
3,3.009771858341992,-3.4178114749956876,,53827.13072814166,0.5117717709935407,1.002232498393668,0.007613797784362294,15.01543554631026,0.006343663258713143,15.197528468125464,0.0065122138391443965,15.734460895638977,0.029841199189337444,,
4,6.024512324795069,-1.9101335085397295,,53827.1301126752,0.5109811650541829,1.0030427531982746,0.007584059177206318,15.015885273670527,0.006281318081161327,15.198083498002546,0.006468068775554122,15.751668476576695,0.03334818834703198,,
5,7.9583706203557085,-0.9425293796484766,,53827.12876271298,0.5120849933344128,1.0038571885552778,0.00778265224948476,15.016328544554517,0.00637190530001032,15.198584211329042,0.006582547652970072,15.75431151186334,0.03983781276928641,,
6,-9.826056307218096,0.14877702612284338,,53827.111389640544,0.5111118309442425,1.0062450670926424,0.007632278201244219,15.017306203442729,0.006127648874582284,15.199860528192701,0.006383164325475456,15.805595756667655,0.04588328671854409,,
7,-9.814575895834423,1.1109241041667701,,53827.09990922916,0.5097500668617331,1.0075589084984815,0.007430234487637078,15.017785110870932,0.005913446293259519,15.200518072483868,0.0061880190043760355,15.847021310774519,0.046825466142066265,,
8,-9.812171173289244,3.1293764457623183,,53827.097504506615,0.509897267749827,1.0078957703946119,0.007436202893919225,15.0179280258603,0.005901252885230603,15.200639302021992,0.006182510281338952,15.854524300702685,0.047565747896986525,,
9,-9.811586596573761,4.0902012822189135,,53827.0969199299,0.5098952180698634,1.0079433677600218,0.007434277335743451,15.017940712203917,0.0058984590500986206,15.200665499555788,0.00618052814724964,15.858938539121374,0.048035145849086816,,
10,-9.813368274182722,5.621215059152746,,53827.09870160751,0.5099420263671688,1.0075202729160158,0.007422212546854328,15.017749942594158,0.005910683980113927,15.200437459837326,0.006183182471274976,15.848211924425728,0.0473559873176598,,
11,-9.810890940025274,7.104342393307888,,53827.09622427335,0.5098446991715971,1.0081420821620253,0.007395198815149693,15.01804033949728,0.005886925786422403,15.200771517028556,0.006169193361290607,15.86236672368905,0.046519855825015125,,
12,-9.815009419871785,11.63022391346749,,53827.1003427532,0.5108927325912215,1.0082356257990834,0.007591107518791993,15.01820144091167,0.006012663100349334,15.200839358813107,0.006306556427710294,15.824265486370773,0.045548621842705896,,
13,-9.81182016547973,13.59259650119202,,53827.097153498806,0.5098289591321004,1.0079899764120996,0.007439206631468602,15.01797710220522,0.005898734551745752,15.200680101841959,0.006180797878045416,15.857166629701858,0.04634929509115234,,
14,-9.814156011736486,16.089677321600902,,53827.09948934506,0.5100557440977929,1.007910085140183,0.00747516629776394,15.017982437903616,0.005931100657675827,15.200666574595544,0.006214270176598375,15.847939491864539,0.04907405496460404,,
15,-0.9542390785281896,-2.892505745192466,,53827.098572411865,0.5098132140291421,1.0077404547066602,0.0074407396603172245,15.018005668213744,0.005910957543178777,15.20017874989632,0.0061895193040701485,15.681422103594604,0.015679462747457205,,
16,2.082472561451141,-1.3734607718761254,,53827.09719410521,0.5095630016274202,1.0078063285984589,0.0074183361052570125,15.018004082506598,0.005892630621002375,15.200220584267576,0.006171626560967798,15.686074312762223,0.016862494444592927,,
17,3.0441047213680577,-0.892245278628252,,53827.09639527863,0.5094307730630655,1.0078482974587597,0.007411489450975352,15.01801026206316,0.005889130455461893,15.200235291216721,0.006168750688405078,15.687702401475523,0.017140142177546523,,
18,-4.82767560522916,0.6157368947642681,,53827.09547560524,0.5092275060830944,1.0080106564396782,0.007426555053762664,15.01808668210402,0.005892766776360669,15.200268568611833,0.006175993097374045,15.688839773677927,0.017993943658686277,,
19,-4.831591319772997,1.5780753468898183,,53827.09939131978,0.5097328713389537,1.0080725331270484,0.007462239715813917,15.018204048811178,0.005913649746238116,15.200379267221233,0.006198503538179362,15.684062625607286,0.018918463138341314,,
20,-4.828503936929337,2.655096063070232,,53827.09630393694,0.5098920948817379,1.0080873863606632,0.00742682525003681,15.018157285838905,0.005889318753532716,15.200307673801394,0.006171979785596323,15.687501755692331,0.019594650568100284,,
21,-4.827820654194511,3.6064460124653124,,53827.0956206542,0.5103136787023608,1.0073685884738215,0.007464228499980317,15.017743439595899,0.005943522947019166,15.199862434760515,0.006212761228275882,15.691232977926056,0.019998027403340307,,
22,-4.830123241357796,5.620191044352396,,53827.09792324137,0.5105161506113249,1.0071122577538358,0.007480370513058764,15.017653996059067,0.005970973525369595,15.19972005062604,0.006235803015618894,15.691377979059917,0.0201574499121907,,
23,-4.83039573487622,6.580158810575085,,53827.098195734885,0.5106852685125542,1.0071342346272887,0.007512355631337094,15.017672558694349,0.005993224887937969,15.19973834341962,0.006260177150210323,15.691402255295747,0.02026335418040893,,
24,-4.829352529071912,8.113997470922186,,53827.09715252908,0.5103069804691333,1.0076606401339534,0.007480245875575457,15.017945526116588,0.005944275260284527,15.200062349345014,0.006222019936926543,15.690887510545508,0.020018332348098963,,
25,-4.829805811328697,9.594194188663096,,53827.09760581134,0.5114231470680541,1.0078681387167265,0.007653485484667599,15.018074015627548,0.006073309333573679,15.200198152638112,0.006362178144664782,15.693454578594146,0.020424552551399116,,
26,-4.8306515170042985,14.123348482993606,,53827.09845151701,0.5098720735639565,1.0068592682099098,0.007285470803966237,15.017526451957162,0.005873644681791351,15.199596198484747,0.0061196688176299785,15.690844826552826,0.019630450001457064,,
27,-4.830400471772009,16.08278286155837,,53827.09820047178,0.5109642040056038,1.0056965752409506,0.0074482062996318234,15.016864843170067,0.006016817270621105,15.198829780468254,0.006244893944374194,15.693415120637985,0.020270317412198115,,
28,-4.828150547793484,18.584449452202534,,53827.0959505478,0.5100177346858346,1.0076750789866633,0.00741558864106157,15.017934260020166,0.005899722151653055,15.200027892738083,0.006172877058723957,15.689185934181465,0.02001076691947278,,
29,-0.9511121550531243,0.5665545116098656,,53827.09544548839,0.509909014238649,1.0080120604599443,0.0074337384920834205,15.018092101858265,0.005894469712158117,15.2002507590995,0.006177842637458994,15.674854564543994,0.019610703044537166,,
30,-0.9505593619614956,1.0475239713705378,,53827.0948926953,0.5099127070038224,1.008062667962249,0.007439747490742775,15.018108163079745,0.005898853223935246,15.200275570168985,0.006183460488300293,15.67645641887387,0.020101954965138634,,
31,-0.9496351527923252,2.555510680536827,,53827.09396848613,0.509782983269981,1.0080483639726252,0.007446214899911663,15.018090127553204,0.005903280435752573,15.200225925536685,0.006187648275917673,15.676387605466529,0.021528339370441317,,
32,-0.952395211228577,3.519004788769962,,53827.096728544566,0.509837964223774,1.008075820211763,0.007436524021575338,15.018169498826273,0.005894209078589526,15.200276726956965,0.0061779835977789,15.66810195198798,0.022884580923791226,,
33,-0.9516532115958398,4.593680121739453,,53827.09598654493,0.5098916693125549,1.0078863181655922,0.0074105686156786445,15.018057493731709,0.0058852715299119,15.200158406588793,0.006163441032020485,15.67121597556016,0.0240519375030169,,
34,-0.9523322584282141,5.543667741567333,,53827.096665591765,0.5104491617885025,1.007229880209514,0.007476296343369506,15.017698900815205,0.005960218944409634,15.199757603025368,0.006227305130278198,15.676209003763047,0.02474661212984113,,
35,-0.9551652321024449,7.556882386943471,,53827.09949856544,0.5105356287138754,1.0068250141582504,0.00748009665233507,15.01753820874783,0.0059821063503336155,15.199572093157784,0.006241335832791638,15.676435729841069,0.024933601882967345,,
36,-0.9551546037546359,8.517133275032393,,53827.09948793709,0.5107808061437621,1.0070126997739413,0.007526304605454271,15.017641503630648,0.006010537291098545,15.199652418647618,0.006275757458445797,15.676412473601886,0.02511821023032481,,
37,-0.9539395961619448,10.051143737167877,,53827.0982729295,0.5103840159388238,1.0075732156070787,0.007493580870609551,15.017930913235656,0.005959112931863153,15.199993551657903,0.006235757619820726,15.675740446632185,0.024750959462430944,,
38,-0.9553422919561854,11.530391041371331,,53827.09967562529,0.511601974829321,1.0077412204318261,0.007681674951597223,15.018053515549466,0.006100434428763612,15.200131573962802,0.006387943131636744,15.679667340476023,0.02527084802490742,,
39,-0.955903007692541,16.059830325641087,,53827.10023634103,0.5098367839138248,1.006515681904711,0.007283804794949792,15.017378890417163,0.005891153652948887,15.199378738309896,0.0061313603122756695,15.67646292331128,0.02405615678115466,,
40,-0.9559203824173892,18.018996284248715,,53827.100253715755,0.5111376797150664,1.0054264012801741,0.0074650531632815586,15.0167616109118,0.006044951465148303,15.198669649387712,0.006268768414838204,15.679772497690186,0.02509231738438224,,
41,-0.9518979347922141,20.52243539853953,,53827.09623126813,0.5100547296231739,1.0075870940385998,0.00741563866960961,15.017904181276425,0.005904848223848822,15.19993635766441,0.0061763790715027396,15.672813947313543,0.02480774162203834,,
42,2.083871273935074,2.5642879406041175,,53827.09579539273,0.5099031727079935,1.0079991471510477,0.007430348627015312,15.018084129904187,0.005892253107480033,15.200274670110383,0.006175220522031488,15.683398031545128,0.07289079730402237,,
43,2.084298783673148,4.07177795033931,,53827.09536788299,0.5098357398814015,1.008001755945003,0.0074352286928994135,15.018082434899524,0.005895523227494929,15.20025520860475,0.006178566011763692,15.684684856134528,0.07504055561875539,,
44,2.082842851821624,5.036576185157173,,53827.09682381484,0.50998754822891,1.0081421961667631,0.007447793576520946,15.018201727376415,0.005902311768038961,15.200343805075272,0.006187943092916235,15.674301982406424,0.07735209132416124,,
45,2.0837629244706477,6.111429591142951,,53827.09590374219,0.5099460506899764,1.0080628557064517,0.007418652449897177,15.018140239407067,0.005888097445353443,15.200271575780667,0.0061701697872413265,15.680096064728875,0.07942254341337426,,
46,2.0825085143223987,7.060841847654956,,53827.09715815234,0.5103575551066962,1.0072665133433985,0.007462437010464491,15.017715215625318,0.005949385767780738,15.199833932224713,0.006216823297825435,15.688315013970067,0.08045447405975234,,
47,2.080100573504751,9.074481525887677,,53827.09956609316,0.5104940288447435,1.0070115276494733,0.0074783966644860235,15.017625134422172,0.005976906087602795,15.199702730022716,0.006240007746262287,15.688858991531283,0.08077682437125559,,
48,2.0798225639300654,10.034443776054104,,53827.09984410273,0.5106676762330155,1.00703496328838,0.007511321879918401,15.017643933195812,0.005999119919579951,15.199723719053031,0.006264337992342309,15.688920225436695,0.08101981345606617,,
49,2.081119073969603,11.568535740636435,,53827.098547592694,0.5102821899066422,1.0075764982547313,0.007480730720697784,15.017921042631635,0.005949703434127957,15.200050040152572,0.006225981455153295,15.687624397785532,0.08049327780086776,,
50,2.0794308820331935,13.04749754869772,,53827.10023578463,0.5114075313003649,1.0077112788960316,0.007654787115473185,15.018027163354683,0.006080407104239041,15.200181705628205,0.0063663298022592655,15.693625003551514,0.08104603164288456,,
51,2.0796920559878345,17.577758722658473,,53827.099974610675,0.5097055069213665,1.0067294662900326,0.007275736088796524,15.01747482833924,0.005880349534323944,15.19956605583977,0.006124984407184326,15.687914969841247,0.07925224303999232,,
52,2.07883663722896,19.536086637232074,,53827.100830029434,0.5109476283539082,1.00555901070366,0.0074405969322376584,15.016825725167779,0.006023442306053705,15.198831051860676,0.006249596890661872,15.69374762005032,0.08074035715574597,,
53,2.0832415592230973,22.03990822589185,,53827.09642510744,0.5100293564960527,1.0076247762761843,0.00741157669701011,15.01791016125858,0.00590162617450746,15.200017346799546,0.006173856133235723,15.683392046061101,0.08074940222514637,,
54,3.0447012448639725,4.551763744861091,,53827.09579875514,0.5098724371474632,1.0079917375924596,0.007432542763855814,15.018084028755576,0.005893553924103446,15.200261587754602,0.006176219736589469,15.688231839279425,0.0760185128422722,,
55,3.0438608710173867,5.517177537683892,,53827.096639128984,0.5100705164898486,1.008207693029046,0.007454209237861351,15.01823444776512,0.005906761066050354,15.200383262546772,0.00619382728510057,15.677526772172577,0.07868087511856445,,
56,3.0446627833807725,6.591912783384032,,53827.09583721662,0.5099598780172356,1.008108522938448,0.007418253392322622,15.01816326021942,0.005888349124601693,15.200303468644401,0.0061712129544582925,15.684649007861728,0.08105278748032684,,
57,3.0430670398855,7.540983706549014,,53827.097432960116,0.5103027692530693,1.0072638140999581,0.007452387586315183,15.017716738426683,0.005943109189535687,15.199845173776533,0.006210080717779078,15.694249546978508,0.08218075296502556,,
58,3.0404466779655195,9.554410963679402,,53827.100053322036,0.5103501063137105,1.0068572258391186,0.0074543125798037565,15.017547682339517,0.005963861759183696,15.199661444472985,0.006222906414754545,15.694989471895672,0.08250295459147008,,
59,3.040153957575967,10.514358503030962,,53827.100346042425,0.5105251000898983,1.0068731421309456,0.00748755366572121,15.017562385772026,0.005986223607228929,15.19967824622518,0.006247237513309848,15.69512637656232,0.08278030205872774,,
