comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
0,-6.701833516606712,-7.171889072164049,,56683.80083351661,0.06223987709673922,0.89861345300222,0.005151173438789085,16.290689205368043,0.005026152462940629,16.36097498517531,0.005353386246053898,,,17.015452922233763,0.04883057351703038
1,-3.666192361182766,-5.654872916737077,,56683.80244236118,0.06182127701719023,0.8985753962625331,0.005123449907726615,16.290667003102595,0.005003210227926773,16.361033009968086,0.005329013914167667,,,17.035056374747462,0.04545222810520738
2,-2.6620222386118257,-5.150633349723648,,56683.79813334972,0.06155256417285232,0.8988438394950354,0.0051017687545631355,16.290706445101254,0.004977324579124861,16.3612507141528,0.005302428949132111,,,17.091595239066486,0.048664316181057043
3,-7.640519595988735,4.368235959573212,,56683.799408484876,0.06331043916047244,0.899213522509621,0.005237220737872501,16.29093322603699,0.00510431457831802,16.361473597202735,0.005439456903343826,,,16.966773025500974,0.05645127490727956
4,-7.638277130172355,5.835778425385797,,56683.79716601906,0.062047946270337814,0.8992148264487791,0.005127213731975184,16.290865468628436,0.005000022084429047,16.361552360038015,0.005328920191853594,,,17.022828458194443,0.05232080861408675
5,-7.6417846333715715,7.819493144404987,,56683.80067352226,0.06270989888138517,0.8991261528657628,0.005189307744425946,16.290897939431254,0.0050582682365523345,16.36145175953391,0.005390031499405145,,,16.990745677294107,0.055117581524065394
6,-7.642473618114309,8.827137493000919,,56683.801362507,0.06340368710302657,0.8993798503937815,0.005244113610205913,16.291073268336874,0.005111574105880708,16.361512730570485,0.005448268613678661,,,16.978860697890784,0.06088197519465327
7,-3.660399775217229,-5.179024775214202,,56683.79664977521,0.0617648880667726,0.8988927751530922,0.005114441501308141,16.290823755748104,0.0049868653059843325,16.360981975435667,0.005312635076475653,,,16.981208313880124,0.04281821518203546
8,-2.657693449065846,-4.676249004620331,,56683.79380456018,0.06229730345063844,0.8989678924447326,0.005159175933047361,16.290784955617735,0.005028775972410595,16.3610947328556,0.00535760886489443,,,17.021772688468783,0.04615285570756304
9,-6.697408011430525,4.841291988574085,,56683.79640801143,0.06200810818228339,0.8992165430544099,0.005123068646757282,16.290958803518446,0.0049967020374651755,16.361285760149123,0.0053254671115964625,,,16.905660758253745,0.05096217610422227
10,-6.698612416010292,6.305387583990523,,56683.79761241601,0.06143942133059858,0.898871026643322,0.005070822974625948,16.290740761587806,0.004954439573651685,16.36123998566759,0.0052798389438288304,,,16.95682951860735,0.04867935158238658
11,-6.698744830384385,8.292477391834836,,56683.79774483039,0.06172412353357119,0.8990586269314864,0.005099857041952104,16.290887993006965,0.004975052513889275,16.361220822859018,0.0053017866877460365,,,16.92658469290447,0.05062700403067091
12,-6.699045268644113,9.300510286913777,,56683.798045268646,0.062204262580594666,0.899296438905176,0.005136510892689157,16.291058315752057,0.005011044528739377,16.361249193738306,0.005341522754880669,,,16.906834069968372,0.05476773516231617
13,-2.661391613582964,-3.161322169140476,,56683.797502724694,0.06203917032474595,0.8988246433720686,0.0051335074486058875,16.290733744894013,0.00500474217707565,16.361118569650788,0.005331329551191749,,,17.038835297922926,0.04354572745178408
14,-3.6544121510814875,6.365662848926149,,56683.79066215108,0.06237842070764563,0.8996409652904614,0.005150119945106014,16.291103834016624,0.005028044961485525,16.36147799920414,0.005361707105949997,,,16.94010425348893,0.04712458938783811
15,-3.659050955378916,7.826324044624926,,56683.795300955375,0.06137167952733963,0.8991294512001603,0.005063926776951766,16.290845033200387,0.004956568208101133,16.36137233061966,0.005284325115198268,,,16.982771984530125,0.04514605718275238
16,-3.65788217705267,9.814715045169578,,56683.79413217705,0.06197909615816348,0.8993765494503974,0.005114688296875237,16.29100133928636,0.0049947120037161655,16.36138356746369,0.0053250077883639346,,,16.95780045005024,0.04671048736950656
17,-3.656992265030567,10.82393829053035,,56683.79324226503,0.06262850377658424,0.8997110473329423,0.005161809190223925,16.291201436694596,0.0050408706659455385,16.361466273148714,0.005376185842827957,,,16.945183607480946,0.05004636436291393
18,-2.6506373321681167,6.869507112282008,,56683.78674844328,0.06340360659820332,0.8999260120669638,0.005237770067674306,16.29117526236273,0.005109206896492174,16.361664641648506,0.005449241591139864,,,16.98179256763334,0.05199053632993418
19,-2.654403820321022,8.331040624125308,,56683.79051493143,0.061903541699299236,0.8995750166938006,0.005111761034009608,16.290993448103908,0.004996708796570107,16.36163017850785,0.005328598735732608,,,17.028873052562723,0.04902114922847749
20,-2.65469075240253,10.317975914262206,,56683.79080186351,0.06281146099061322,0.8996763256363157,0.005186529167270255,16.291084747395626,0.005060591380609769,16.36159422642405,0.00539624000598101,,,17.0016001004213,0.05110193376208714
21,-2.65421836583846,11.326781634164945,,56683.79032947695,0.06357266256910839,0.900015007733681,0.0052418253957031286,16.29128645527251,0.005115312976595361,16.36169800173095,0.005456665968845099,,,16.993558371098114,0.0556443594248352
22,16.377462138705596,17.8427621387018,,56683.798937861306,0.13209138798395736,0.8987710192018333,0.005137952697753703,16.29063692499442,0.005010068130979974,16.361324752544615,0.005336817638384469,,,16.895024397452577,0.06597349664628052
23,16.37883049823722,19.831352720451832,,56683.797569501774,0.13177131145867807,0.8988604630794477,0.00511198710219616,16.290700506326786,0.004983469481203923,16.36126380508438,0.005308803861837704,,,16.85259035509865,0.06831262671261246
24,16.37808074617351,20.83893630172679,,56683.79831925384,0.1317610171047885,0.8988781819090217,0.005111010015233994,16.29075773645937,0.004982737074691142,16.361178738261508,0.005308153956780583,,,16.81411299007327,0.07360232715405399
25,19.307724348793272,21.29494657101168,,56683.79927565121,0.13181445445052778,0.8988079706094952,0.00511665740770251,16.29063373279732,0.004989249869849189,16.36140980931357,0.005314763033999547,,,16.91956511163157,0.06560232169438172
26,19.306741842679912,22.302297398236988,,56683.800258157324,0.13222500773261592,0.8988882773974509,0.005151564329417119,16.290714633900635,0.005022184068444917,16.361393008932133,0.005350112069704621,,,16.894690583344573,0.07105547559241719
27,23.28337299756822,24.29170633090689,,56683.79807144687,0.13186557258978193,0.8989059245288451,0.005118555761626138,16.290751459055958,0.004989972084725659,16.3612462083604,0.005315982491988477,,,16.843377922526603,0.07458260433758915
